acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.19,-0.34,0.82,-1.21,0.66,1.04
0.2,-0.33,0.81,-1.6,-0.14,1.02
0.19,-0.33,0.81,-1.82,-0.99,1.27
0.19,-0.33,0.83,-2.27,-1.25,1.18
0.21,-0.34,0.85,-3.45,-2.32,0.98
0.22,-0.34,0.86,-2.09,-1.77,0.37
0.2,-0.34,0.85,-0.76,-2.08,0.06
0.2,-0.34,0.86,0.2,-1.63,0.24
0.19,-0.33,0.84,-0.09,2.24,-0.92
0.18,-0.34,0.83,-0.26,1.91,-0.93
0.19,-0.33,0.82,0.08,1.42,-1.04
0.18,-0.33,0.82,0.14,0.79,-1.34
0.16,-0.33,0.84,0.32,-1.71,-0.03
0.15,-0.33,0.83,-0.06,-0.87,0.46
0.16,-0.33,0.83,-0.15,-0.31,1.42
0.15,-0.33,0.84,0.03,0.17,2.24
0.2,-0.32,0.82,-1.36,-1.13,2.44
0.2,-0.33,0.84,-1.62,-0.79,2.44
0.2,-0.33,0.84,-1.34,-0.52,2.31
0.2,-0.32,0.83,-1.01,-0.23,1.71
0.19,-0.33,0.82,-0.99,-0.76,-0.06
0.19,-0.31,0.82,-1.73,-0.82,-0.03
0.18,-0.32,0.81,-2.32,-1.16,-0.69
0.18,-0.32,0.83,-2.41,-1.01,-0.49
0.16,-0.33,0.82,-1.5,0.2,0.17
0.15,-0.33,0.83,-1.79,-0.7,0.73
0.15,-0.32,0.83,-2.56,-1.07,1.4
0.15,-0.33,0.82,-3.36,-0.64,2.21
0.18,-0.34,0.85,-4.2,-0.23,3.34
0.19,-0.34,0.85,-4.32,-0.24,3.51
0.19,-0.33,0.86,-3.89,-0.06,3.39
0.2,-0.34,0.86,-2.85,-0.6,3.34
0.21,-0.33,0.83,-1.8,-0.66,0.18
0.21,-0.34,0.84,-2.12,-0.75,-0.5
0.21,-0.33,0.84,-2.23,-0.6,-0.85
0.2,-0.33,0.84,-2.03,-0.23,-1.21
0.19,-0.33,0.84,-1.76,1.05,-1.39
0.18,-0.33,0.84,-1.31,1.01,-1.53
0.17,-0.33,0.83,-1.57,-0.03,-1.25
0.17,-0.34,0.84,-1.97,-0.43,-0.92
0.17,-0.33,0.84,-0.12,-0.85,1.54
0.18,-0.33,0.84,0.78,-0.82,1.16
0.18,-0.32,0.84,0.38,-0.4,0.89
0.19,-0.32,0.81,-0.17,-0.61,0.72
0.18,-0.34,0.85,-2.84,-0.47,0.55
0.19,-0.33,0.85,-2.4,0.6,0.58
0.2,-0.34,0.85,-1.57,1.62,0.67
0.19,-0.34,0.85,-0.92,2.09,0.53
0.2,-0.33,0.83,-1.05,-1.27,-0.67
0.19,-0.33,0.84,-1.3,-1.08,-0.95
0.18,-0.33,0.83,-0.66,-0.73,-0.52
0.18,-0.33,0.83,-1.08,-0.56,-0.58
0.19,-0.33,0.84,-1.48,-0.11,0.03
0.18,-0.33,0.84,-1.28,0.75,-0.02
0.18,-0.33,0.84,-0.95,0.6,0.31
0.18,-0.33,0.84,-1.02,0.98,0.34
0.2,-0.33,0.86,0.15,-1.16,-0.53
0.2,-0.33,0.85,0.73,-0.41,-0.4
0.2,-0.33,0.84,0.95,0.18,-0.76
0.19,-0.33,0.85,0.99,1.3,-0.78
0.18,-0.32,0.83,-0.79,0.27,-0.21
0.18,-0.33,0.85,-0.79,-0.06,0.05
0.18,-0.33,0.83,-0.67,-0.23,0.32
0.17,-0.33,0.84,-0.73,0.34,0.52
0.19,-0.32,0.83,-0.56,0.46,0.53
0.18,-0.33,0.84,-0.43,1.34,0.69
0.19,-0.33,0.83,-0.14,2.38,1.01
0.18,-0.32,0.83,-0.38,2.98,1.24
0.18,-0.32,0.84,-1.59,-1.39,0.38
0.18,-0.32,0.83,-1.86,-1.73,0.55
0.18,-0.32,0.84,-1.51,-2.08,0.84
0.18,-0.32,0.84,-1.63,-1.88,1.18
0.19,-0.33,0.85,-2.89,1.08,0.27
0.19,-0.33,0.85,-2.82,2.55,0.09
0.19,-0.33,0.84,-2.64,3.54,-0.09
0.19,-0.33,0.85,-1.8,3.95,0.2
0.18,-0.32,0.83,-1.25,0.41,-0.29
0.18,-0.33,0.84,-1.13,0.02,-0.24
0.18,-0.33,0.83,-0.85,-0.56,-0.23
0.17,-0.32,0.83,-1.21,-0.85,-0.37
0.2,-0.33,0.84,-4.49,0.35,-0.11
0.19,-0.33,0.86,-3.95,0.2,-0.31
0.19,-0.34,0.86,-3.15,0.24,-0.27
0.2,-0.34,0.87,-2.2,0.81,-0.05
0.17,-0.33,0.84,-1.68,-0.23,-0.38
0.17,-0.32,0.84,-1.63,-0.41,-0.37
0.17,-0.33,0.84,-2.17,-0.32,-0.2
0.17,-0.33,0.83,-2.21,-0.11,-0.23
0.18,-0.32,0.83,-2.14,-1.34,0.76
0.18,-0.33,0.83,-2.47,-1.6,1.01
0.19,-0.32,0.83,-2.87,-1.54,0.93
0.19,-0.33,0.83,-2.99,-1.25,0.81
0.17,-0.32,0.83,-1.98,0.23,1.48
0.18,-0.33,0.83,-2.38,0.46,1.63
0.19,-0.33,0.83,-2.02,0.87,1.65
0.18,-0.33,0.84,-1.89,0.24,1.37
0.18,-0.33,0.84,-2.63,-0.31,1.48
0.18,-0.33,0.85,-2.47,-0.55,1.77
0.19,-0.33,0.84,-1.98,-0.38,1.71
0.19,-0.33,0.84,-2.26,-0.14,1.65
0.19,-0.34,0.84,-1.25,-0.56,-0.72
0.19,-0.34,0.84,-1.36,-0.2,-1.01
0.19,-0.34,0.85,-1.95,0.34,-1.19
0.19,-0.34,0.84,-1.88,1.1,-1.5
0.16,-0.33,0.82,-2.31,0.0,-0.26
0.18,-0.33,0.81,-2.78,-1.28,-0.06
0.18,-0.32,0.82,-2.84,-2.11,-0.2
0.18,-0.33,0.83,-3.56,-2.6,0.0
0.18,-0.33,0.83,-3.63,-1.25,-0.02
0.19,-0.34,0.85,-3.15,-0.55,-0.15
0.19,-0.33,0.84,-2.75,-0.41,0.05
0.19,-0.33,0.84,-2.9,-0.03,-0.49
0.18,-0.34,0.84,-0.05,1.73,-0.6
0.18,-0.33,0.84,-0.11,2.18,-0.58
0.17,-0.33,0.85,0.03,1.98,-0.37
0.17,-0.33,0.83,0.14,2.35,-0.47
0.17,-0.32,0.82,-1.62,-0.53,0.61
0.17,-0.33,0.81,-2.18,-1.33,0.76
0.18,-0.33,0.83,-2.37,-1.63,0.47
0.18,-0.33,0.84,-2.89,-1.6,0.14
0.18,-0.34,0.85,-0.38,-0.12,-0.72
0.17,-0.34,0.86,-0.44,-1.07,-0.89
0.18,-0.34,0.85,0.03,-1.1,-0.92
0.17,-0.34,0.85,-0.38,-0.5,-0.78
0.18,-0.33,0.83,0.44,-1.62,-1.4
0.18,-0.32,0.83,0.26,-0.63,-1.36
0.19,-0.33,0.84,1.27,-0.34,-1.59
0.19,-0.33,0.84,3.27,-1.02,-1.8
0.19,-0.33,0.84,2.27,-0.21,-1.13
0.18,-0.33,0.84,3.05,-0.12,-0.76
0.18,-0.33,0.84,2.78,1.39,-0.24
0.18,-0.33,0.84,1.68,1.47,0.34
0.18,-0.32,0.83,-0.84,0.21,0.27
0.17,-0.32,0.82,-0.73,0.09,-0.02
0.17,-0.31,0.82,-1.13,0.14,-0.03
0.17,-0.32,0.82,-1.24,0.76,-0.26
0.16,-0.32,0.83,-2.08,-0.38,0.55
0.17,-0.32,0.82,-2.4,-0.55,1.04
0.16,-0.32,0.82,-2.76,-0.99,1.28
0.18,-0.32,0.83,-3.37,-0.95,1.62
0.19,-0.33,0.86,-2.99,0.34,0.79
0.19,-0.34,0.85,-2.53,-0.21,0.38
0.19,-0.33,0.86,-1.88,0.46,0.37
