acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.18,-0.33,0.84,0.87,-2.18,2.09
0.18,-0.33,0.84,1.36,-1.4,2.96
0.18,-0.33,0.83,1.59,0.69,3.39
0.18,-0.32,0.82,0.76,2.38,3.94
0.18,-0.31,0.82,0.06,2.32,4.09
0.18,-0.31,0.82,-1.6,1.59,3.98
0.18,-0.31,0.82,-3.25,0.78,3.39
0.2,-0.32,0.83,-4.85,-0.21,2.6
0.19,-0.33,0.84,-4.03,-2.15,1.05
0.19,-0.33,0.83,-3.82,-1.71,1.1
0.18,-0.33,0.83,-4.27,-1.21,1.05
0.19,-0.33,0.83,-3.89,-0.64,0.76
0.18,-0.32,0.83,-5.91,1.48,1.25
0.18,-0.33,0.84,-6.26,1.91,1.28
0.18,-0.32,0.85,-5.65,1.77,1.85
0.19,-0.34,0.85,-4.69,1.07,1.4
0.2,-0.34,0.85,-3.01,-4.64,-0.4
0.2,-0.34,0.84,-2.24,-4.46,-0.95
0.21,-0.33,0.84,-3.65,-3.69,-1.77
0.19,-0.33,0.83,-4.61,-3.16,-1.85
0.17,-0.35,0.83,-8.9,-0.87,-0.63
0.18,-0.34,0.82,-8.67,0.0,-0.15
0.18,-0.34,0.84,-8.99,1.18,0.66
0.17,-0.34,0.84,-8.37,1.18,1.16
0.17,-0.34,0.84,0.4,-1.4,-0.09
0.18,-0.35,0.85,0.75,-0.56,0.26
0.18,-0.34,0.84,0.73,0.46,0.37
0.17,-0.35,0.84,0.82,1.02,1.01
0.17,-0.33,0.84,4.08,1.02,4.7
0.19,-0.34,0.82,3.82,1.18,4.29
0.19,-0.33,0.84,2.72,1.42,3.76
0.2,-0.34,0.84,1.8,1.15,3.02
0.19,-0.34,0.83,0.24,-0.75,0.06
0.18,-0.33,0.83,0.15,-0.79,-0.14
0.18,-0.33,0.83,-0.73,-1.01,0.18
0.18,-0.33,0.82,-1.33,-0.79,0.67
0.18,-0.33,0.84,-0.21,3.3,0.96
0.18,-0.33,0.84,0.32,2.78,1.11
0.18,-0.33,0.84,0.63,2.47,1.07
0.19,-0.33,0.84,0.73,1.86,0.87
0.18,-0.33,0.83,-1.02,-0.35,0.29
0.19,-0.33,0.82,-1.54,-0.72,-0.14
0.18,-0.33,0.84,-1.27,-0.5,-0.23
0.18,-0.33,0.84,-0.58,-1.25,-0.55
0.19,-0.32,0.83,-1.42,2.03,0.89
0.18,-0.33,0.83,-2.12,2.14,0.89
0.19,-0.34,0.84,-2.5,1.79,0.67
0.19,-0.33,0.84,-3.07,1.57,-0.17
0.18,-0.34,0.85,-2.09,2.6,-1.5
0.17,-0.33,0.84,-1.3,2.26,-1.37
0.18,-0.33,0.84,-0.69,2.12,-1.04
0.16,-0.33,0.83,-0.69,1.8,-0.7
0.18,-0.34,0.84,-2.2,-1.11,0.63
0.18,-0.34,0.84,-1.94,-0.7,0.58
0.17,-0.33,0.84,-1.08,-1.01,0.18
0.18,-0.33,0.83,-1.1,-0.76,-0.02
0.18,-0.33,0.85,-1.86,0.92,-1.97
0.18,-0.34,0.84,-1.24,2.09,-1.76
0.18,-0.33,0.85,-0.55,2.69,-1.19
0.17,-0.33,0.84,-0.08,3.3,-0.66
0.17,-0.33,0.83,-0.53,-1.28,0.47
0.16,-0.33,0.83,-1.57,-0.67,0.63
0.18,-0.34,0.83,-2.02,-1.95,0.76
0.19,-0.33,0.84,-2.2,-0.14,0.18
0.17,-0.33,0.86,-1.07,-1.01,0.41
0.18,-0.33,0.85,-1.05,-1.4,0.53
0.17,-0.32,0.84,-0.6,-1.65,0.64
0.17,-0.33,0.83,-0.44,-1.57,0.98
0.17,-0.33,0.84,-1.98,-0.38,0.66
0.18,-0.33,0.85,-2.32,-1.68,0.09
0.18,-0.33,0.84,-1.74,-3.08,-0.27
0.19,-0.33,0.84,-1.82,-2.34,-0.84
0.17,-0.32,0.82,-2.56,0.53,1.5
0.17,-0.33,0.82,-2.46,0.18,1.68
0.18,-0.32,0.81,-3.07,0.76,1.89
0.18,-0.34,0.82,-3.57,-0.7,1.27
0.19,-0.34,0.85,-1.92,-0.98,-0.41
0.19,-0.34,0.85,-1.11,-0.89,-0.9
0.19,-0.33,0.83,-1.16,0.26,-1.4
0.18,-0.33,0.83,-1.16,0.18,-1.19
0.18,-0.33,0.83,-0.52,2.37,0.18
0.18,-0.33,0.83,-1.65,2.93,0.27
0.18,-0.33,0.82,-2.7,2.66,0.32
0.18,-0.33,0.81,-3.66,2.5,0.24
0.18,-0.34,0.84,-3.44,-2.27,-0.12
0.19,-0.34,0.85,-2.76,-1.77,-0.14
0.19,-0.34,0.86,-1.86,-1.11,-0.35
0.19,-0.34,0.85,-1.07,-0.38,-0.78
0.17,-0.34,0.84,-2.64,0.32,0.17
0.17,-0.35,0.84,-2.63,-0.72,0.03
0.18,-0.34,0.83,-2.5,-0.56,0.0
0.17,-0.34,0.84,-2.92,-0.69,0.2
0.18,-0.33,0.83,-2.66,1.91,1.85
0.18,-0.34,0.84,-2.11,2.18,1.76
0.19,-0.34,0.85,-1.11,1.54,1.57
0.19,-0.34,0.85,-1.31,1.34,0.81
0.18,-0.33,0.83,-1.37,0.5,-1.07
0.17,-0.34,0.84,-1.79,0.12,-0.87
0.18,-0.34,0.83,-1.91,0.46,-0.66
0.17,-0.34,0.83,-2.17,1.16,-0.32
0.18,-0.34,0.84,-1.68,0.05,0.27
0.19,-0.34,0.84,-1.76,0.72,-0.12
0.18,-0.34,0.84,-1.31,0.37,-0.06
0.18,-0.34,0.84,-1.22,0.5,-0.08
0.17,-0.34,0.85,-1.07,-0.12,0.35
0.18,-0.34,0.84,-0.7,-0.02,0.02
0.17,-0.34,0.84,-0.75,-0.32,-0.18
0.17,-0.33,0.83,-1.45,-0.52,-0.52
0.18,-0.34,0.84,-3.04,0.02,-1.31
0.18,-0.35,0.86,-2.67,-0.02,-1.18
0.17,-0.34,0.85,-2.08,0.72,-0.92
0.17,-0.35,0.86,-0.46,0.41,-0.61
0.17,-0.33,0.83,-0.73,-1.08,0.21
0.18,-0.33,0.82,-1.25,-1.57,0.06
0.17,-0.33,0.84,-2.26,-1.63,0.38
0.17,-0.34,0.84,-1.97,-2.23,0.5
0.2,-0.34,0.83,-2.15,0.73,-0.41
0.19,-0.34,0.84,-1.62,1.28,-0.29
0.18,-0.33,0.84,-0.7,0.7,0.06
0.18,-0.34,0.84,-0.14,0.24,0.31
0.17,-0.33,0.84,-1.05,0.11,-0.81
0.17,-0.33,0.83,-1.11,0.0,-0.24
0.17,-0.33,0.82,-1.27,-0.37,-0.29
0.17,-0.33,0.84,-1.51,-1.33,0.24
0.18,-0.35,0.85,-1.18,0.17,-1.04
0.18,-0.34,0.85,-0.26,-0.03,-0.82
0.17,-0.34,0.84,-0.14,-0.18,-0.38
0.18,-0.34,0.83,-0.26,-0.4,-0.29
0.18,-0.33,0.84,-3.97,-0.72,0.73
