acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.08,-0.38,0.79,-3.24,1.05,-2.0
-0.09,-0.37,0.79,-3.82,1.11,-2.05
-0.1,-0.38,0.79,-4.6,0.29,-2.29
-0.11,-0.38,0.79,-4.78,0.05,-2.37
-0.1,-0.4,0.83,-2.92,-1.53,-2.69
-0.08,-0.41,0.81,-2.06,-0.08,-2.55
-0.08,-0.4,0.82,-2.15,0.76,-2.21
-0.09,-0.4,0.82,-1.97,1.69,-2.37
-0.11,-0.38,0.81,-2.34,6.02,-2.34
-0.12,-0.38,0.79,-2.47,5.34,-2.44
-0.14,-0.38,0.81,-2.78,4.78,-1.92
-0.14,-0.38,0.81,-3.01,3.45,-1.63
-0.12,-0.39,0.82,-2.5,-1.86,-1.36
-0.11,-0.39,0.82,-2.32,-1.18,-1.13
-0.13,-0.4,0.82,-1.63,-0.78,-0.67
-0.12,-0.39,0.81,-1.44,-0.2,-0.31
-0.09,-0.39,0.83,-0.82,1.31,-0.03
-0.08,-0.39,0.82,-1.36,2.12,-0.29
-0.09,-0.39,0.83,-1.18,2.84,-0.47
-0.08,-0.4,0.83,-1.02,4.69,-0.24
-0.16,-0.39,0.82,-1.31,-0.49,-0.66
-0.15,-0.4,0.81,-2.15,-1.79,-0.23
-0.15,-0.4,0.82,-2.66,-2.87,0.24
-0.15,-0.4,0.8,-2.46,-4.24,0.58
-0.1,-0.41,0.82,-1.15,-7.19,1.05
-0.09,-0.4,0.81,-1.18,-6.63,1.16
-0.08,-0.39,0.8,-1.07,-5.4,1.07
-0.08,-0.39,0.79,-0.96,-3.62,1.69
-0.06,-0.39,0.81,-0.95,-0.05,-0.41
-0.07,-0.38,0.8,-1.11,1.51,-0.37
-0.07,-0.39,0.8,-1.16,2.47,-0.67
-0.08,-0.38,0.8,-1.28,3.18,-0.6
-0.11,-0.38,0.8,-2.89,0.52,-1.88
-0.11,-0.38,0.79,-2.93,0.09,-2.17
-0.11,-0.38,0.79,-3.65,-0.72,-2.02
-0.12,-0.39,0.79,-4.02,-0.92,-1.44
-0.1,-0.4,0.81,-3.73,-2.63,-1.28
-0.1,-0.38,0.81,-3.91,-2.15,-1.16
-0.1,-0.39,0.81,-4.2,-1.37,-0.96
-0.1,-0.39,0.81,-4.37,-0.75,-0.87
-0.1,-0.39,0.83,-2.49,0.06,0.82
-0.09,-0.4,0.82,-1.86,0.66,0.95
-0.1,-0.4,0.83,-2.43,0.49,0.44
-0.11,-0.4,0.82,-1.73,-0.41,0.2
-0.09,-0.39,0.81,-1.33,-0.4,-0.37
-0.1,-0.39,0.81,-1.8,0.26,-0.21
-0.1,-0.39,0.8,-2.31,0.37,-0.29
-0.11,-0.39,0.81,-2.47,0.72,-0.35
-0.13,-0.41,0.82,-0.24,-1.68,2.24
-0.12,-0.41,0.83,0.2,-2.03,2.14
-0.11,-0.4,0.82,0.06,-2.12,2.02
