acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.11,-0.37,0.82,-0.18,2.08,0.06
-0.12,-0.37,0.81,-0.18,1.98,0.63
-0.12,-0.37,0.82,-0.14,2.17,0.58
-0.11,-0.37,0.82,-0.06,1.88,0.18
-0.11,-0.37,0.81,-0.29,-0.72,0.63
-0.1,-0.37,0.81,-1.34,-0.37,0.35
-0.12,-0.36,0.81,-2.02,-0.9,0.87
-0.11,-0.37,0.81,-2.43,0.29,1.08
-0.1,-0.36,0.82,-2.79,-0.4,-1.04
-0.09,-0.36,0.82,-2.61,0.09,-1.48
-0.1,-0.37,0.82,-2.26,0.06,-1.82
-0.1,-0.37,0.82,-2.02,0.43,-1.6
-0.11,-0.38,0.83,-3.11,-0.87,-1.04
-0.12,-0.38,0.82,-2.41,-1.07,-0.69
-0.12,-0.38,0.83,-1.86,-0.96,0.03
-0.12,-0.38,0.83,-1.01,0.0,0.43
-0.11,-0.36,0.8,-0.29,0.98,0.06
-0.11,-0.36,0.8,-1.18,-0.05,0.03
-0.1,-0.37,0.8,-1.62,-0.18,0.15
-0.11,-0.37,0.81,-1.25,-0.23,0.69
-0.11,-0.37,0.81,-0.53,-3.3,-2.24
-0.11,-0.37,0.82,-0.18,-4.7,-2.02
-0.1,-0.38,0.83,0.34,-5.22,-2.12
-0.11,-0.37,0.82,0.98,-4.73,-1.94
-0.12,-0.37,0.81,-2.41,0.72,0.08
-0.1,-0.37,0.82,-3.4,0.56,-0.31
-0.11,-0.37,0.83,-3.63,1.05,-0.96
-0.12,-0.38,0.84,-2.08,0.44,-0.89
-0.11,-0.36,0.8,0.55,-2.11,0.56
-0.11,-0.37,0.81,-0.27,-0.47,-0.02
-0.09,-0.37,0.84,-0.09,2.38,-1.1
-0.11,-0.37,0.84,0.75,2.09,-0.87
-0.11,-0.36,0.81,-1.05,0.09,-0.18
-0.11,-0.36,0.81,-1.01,-1.83,-0.14
-0.11,-0.36,0.82,-0.72,-1.95,0.2
-0.12,-0.37,0.83,-0.4,-1.42,0.15
-0.11,-0.37,0.82,1.97,1.71,-0.56
-0.1,-0.37,0.81,1.54,2.46,-0.56
-0.11,-0.36,0.82,0.46,1.89,-0.11
-0.11,-0.36,0.81,-0.76,2.02,0.14
-0.11,-0.36,0.82,-2.56,0.82,-1.25
-0.12,-0.37,0.82,-2.49,0.75,-0.06
-0.12,-0.37,0.8,-2.34,0.95,0.2
-0.11,-0.37,0.83,-2.34,0.78,0.5
-0.1,-0.36,0.81,-0.24,-1.36,0.08
-0.09,-0.35,0.81,-0.6,-1.18,-0.15
-0.09,-0.35,0.8,-1.5,-0.84,-0.06
-0.1,-0.36,0.8,-1.95,-0.05,-0.49
-0.1,-0.36,0.81,-3.63,-0.47,-1.73
-0.1,-0.37,0.81,-3.44,-0.35,-2.27
-0.1,-0.37,0.82,-3.74,0.06,-1.98
-0.11,-0.37,0.83,-3.42,0.64,-1.92
-0.12,-0.37,0.83,-1.95,-0.85,0.61
-0.11,-0.37,0.83,-2.27,0.17,0.31
-0.11,-0.37,0.84,-1.89,0.11,0.49
-0.11,-0.37,0.84,-1.39,-0.2,0.76
-0.1,-0.36,0.83,-0.92,-0.6,-0.49
-0.1,-0.37,0.82,-1.24,-0.49,-0.61
-0.11,-0.36,0.82,-1.44,-1.28,-0.24
-0.1,-0.36,0.82,-2.03,-1.36,-0.18
-0.1,-0.37,0.82,-2.58,0.92,-0.66
-0.1,-0.37,0.82,-2.29,1.54,-0.31
-0.1,-0.37,0.82,-1.31,-0.03,0.11
-0.11,-0.37,0.82,-1.5,0.38,-0.2
-0.1,-0.37,0.83,-0.79,-0.53,1.42
-0.1,-0.37,0.83,-0.53,0.7,1.28
-0.1,-0.37,0.83,-0.41,0.37,1.34
-0.11,-0.37,0.82,-0.7,-0.08,1.34
-0.12,-0.37,0.82,-0.73,-0.12,-0.41
-0.12,-0.37,0.82,-0.58,-0.52,0.18
-0.1,-0.37,0.82,0.29,-1.73,1.1
-0.1,-0.37,0.82,-0.58,-0.87,0.61
-0.11,-0.36,0.81,-1.08,0.17,-1.11
-0.11,-0.36,0.81,-1.08,-0.12,-0.82
-0.1,-0.36,0.82,-1.24,-0.78,-0.76
-0.11,-0.36,0.81,-1.82,-1.39,-0.46
-0.1,-0.37,0.83,-0.5,1.92,0.21
-0.11,-0.37,0.82,-0.37,1.69,-0.34
-0.1,-0.36,0.81,-0.56,1.68,-0.98
-0.11,-0.36,0.81,-0.72,0.75,-1.18
-0.11,-0.36,0.81,-2.53,0.99,1.15
-0.12,-0.37,0.81,-2.31,0.99,1.13
-0.12,-0.37,0.81,-2.56,1.21,1.28
-0.11,-0.37,0.82,-2.53,1.27,1.51
-0.1,-0.36,0.81,-3.8,-0.99,1.3
-0.11,-0.38,0.82,-3.08,-1.54,1.19
-0.09,-0.37,0.83,-2.46,0.34,0.52
-0.1,-0.37,0.83,-2.14,-0.26,0.09
-0.12,-0.36,0.82,-2.82,0.4,-0.21
-0.11,-0.36,0.81,-3.18,0.79,-0.6
-0.12,-0.37,0.82,-3.13,-0.53,0.2
-0.12,-0.37,0.82,-2.49,-2.44,1.07
-0.11,-0.37,0.82,-2.31,-0.14,1.01
-0.1,-0.37,0.83,-1.85,-0.02,1.18
-0.11,-0.37,0.82,-1.57,0.05,0.95
-0.11,-0.37,0.82,-1.69,0.41,0.41
-0.1,-0.38,0.83,-2.85,-0.34,0.53
-0.1,-0.38,0.84,-2.24,-0.98,0.81
-0.1,-0.37,0.85,-1.66,-0.9,0.58
-0.1,-0.38,0.83,-0.9,-1.1,0.75
-0.1,-0.36,0.81,-1.04,-0.7,0.29
-0.11,-0.36,0.81,-1.53,-0.15,0.75
-0.09,-0.37,0.82,-2.06,0.67,0.23
-0.11,-0.37,0.82,-1.83,0.95,0.56
-0.09,-0.37,0.82,-1.4,-0.87,0.17
-0.1,-0.37,0.82,-2.05,0.14,-1.37
