Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.224,0.135,0.864,-1.939,-0.947,-0.137
0.000,0.226,0.134,0.867,-1.924,-0.382,0.015
0.010,0.226,0.136,0.866,-1.969,0.183,0.137
0.010,0.223,0.133,0.871,-2.061,0.519,0.290
0.010,0.223,0.129,0.879,-2.229,0.702,0.366
0.020,0.225,0.133,0.871,-2.244,0.748,0.550
0.020,0.224,0.136,0.877,-2.031,0.534,0.595
0.020,0.220,0.127,0.881,-1.695,0.550,0.611
0.030,0.219,0.135,0.870,-1.573,0.321,0.733
0.030,0.219,0.133,0.871,-1.527,0.137,0.885
0.030,0.216,0.135,0.874,-1.511,0.046,0.962
0.040,0.225,0.139,0.875,-1.160,0.137,1.084
0.040,0.219,0.132,0.866,-1.206,0.305,1.191
0.040,0.226,0.141,0.865,-1.328,0.046,1.130
0.050,0.229,0.135,0.860,-1.435,-0.244,1.557
0.050,0.235,0.137,0.856,-1.634,-0.473,1.542
0.050,0.237,0.137,0.869,-1.527,-0.901,1.466
0.060,0.236,0.139,0.864,-1.481,-1.115,1.298
0.060,0.225,0.133,0.862,-1.573,-1.267,1.496
0.060,0.231,0.138,0.864,-1.924,-1.756,1.496
0.070,0.244,0.136,0.872,-2.000,-1.832,1.557
0.070,0.245,0.131,0.879,-1.756,-0.962,1.481
0.080,0.251,0.129,0.876,-1.420,0.260,1.389
0.080,0.252,0.128,0.882,-1.374,0.687,1.313
0.080,0.251,0.127,0.875,-1.405,0.855,1.389
0.090,0.246,0.131,0.885,-1.313,0.763,1.176
0.090,0.243,0.132,0.884,-0.794,1.038,1.130
0.100,0.240,0.129,0.876,-0.504,1.267,1.115
0.100,0.243,0.129,0.876,-0.275,1.130,1.069
0.100,0.246,0.132,0.877,-0.107,0.901,1.191
0.110,0.252,0.129,0.881,-0.107,0.687,1.115
0.110,0.254,0.134,0.873,-0.214,-0.260,0.809
0.110,0.250,0.132,0.871,-0.427,-1.008,0.840
0.120,0.246,0.134,0.869,-0.443,-1.359,0.565
0.120,0.254,0.131,0.881,-0.580,-1.679,0.412
0.130,0.255,0.137,0.866,-0.595,-1.832,0.153
0.130,0.257,0.131,0.870,-0.595,-1.679,0.046
0.130,0.255,0.126,0.862,-0.458,-1.496,-0.061
0.140,0.254,0.127,0.872,-0.336,-1.527,-0.244
0.140,0.252,0.127,0.879,-0.137,-1.099,-0.351
0.150,0.258,0.129,0.876,-0.122,-0.855,-0.550
0.150,0.255,0.129,0.872,0.076,-0.244,-0.565
0.150,0.259,0.131,0.860,0.076,-0.397,-0.504
0.160,0.249,0.127,0.871,0.412,-0.870,-0.779
0.160,0.252,0.134,0.873,0.244,-1.344,-0.916
0.170,0.259,0.133,0.869,0.412,-1.115,-1.053
0.170,0.254,0.134,0.866,0.504,-0.168,-1.053
0.170,0.250,0.133,0.874,0.901,0.061,-1.053
0.180,0.248,0.140,0.863,0.748,0.046,-0.962
0.180,0.248,0.139,0.862,0.779,0.443,-1.145
0.190,0.249,0.143,0.866,1.053,0.519,-1.115
0.190,0.245,0.140,0.858,1.237,0.977,-1.115
0.190,0.244,0.139,0.858,1.053,1.527,-1.267
0.200,0.236,0.139,0.858,0.977,2.092,-1.069
0.200,0.231,0.145,0.848,1.206,1.725,-0.763
0.200,0.235,0.147,0.849,0.947,1.786,-0.824
0.210,0.228,0.140,0.838,0.687,2.397,-0.595
0.210,0.232,0.142,0.836,0.443,2.794,-0.504
0.220,0.231,0.150,0.824,0.275,2.947,-0.015
0.220,0.230,0.144,0.828,0.092,2.382,-0.061
0.220,0.231,0.150,0.836,0.000,2.015,0.122
0.230,0.240,0.150,0.829,-0.198,2.168,-0.015
0.230,0.244,0.146,0.833,-0.321,2.366,0.198
0.230,0.250,0.154,0.836,-0.595,2.656,0.031
0.240,0.255,0.150,0.823,-0.748,2.870,-0.137
0.240,0.259,0.152,0.831,-1.237,3.191,-0.168
0.250,0.256,0.152,0.823,-1.618,4.061,-0.153
0.250,0.254,0.146,0.814,-1.908,4.153,-0.382
0.250,0.249,0.153,0.816,-2.290,3.817,-0.321
0.260,0.242,0.152,0.813,-2.794,3.084,-0.290
0.260,0.246,0.146,0.801,-3.496,2.244,-0.763
0.270,0.245,0.150,0.808,-3.924,1.893,-1.023
0.270,0.245,0.141,0.810,-4.336,1.405,-1.344
0.270,0.240,0.149,0.808,-5.038,0.840,-1.557
0.280,0.240,0.152,0.812,-5.237,0.198,-1.786
0.280,0.232,0.142,0.813,-5.771,-0.336,-1.817
0.290,0.220,0.146,0.821,-6.168,-0.427,-1.649
0.290,0.218,0.142,0.821,-6.015,0.015,-1.420
0.290,0.224,0.139,0.818,-5.847,0.336,-1.099
0.300,0.225,0.142,0.820,-5.817,0.351,-1.023
0.300,0.217,0.145,0.804,-6.198,1.206,-0.779
0.310,0.217,0.144,0.804,-6.122,2.092,-0.580
0.310,0.218,0.145,0.805,-6.336,2.916,-0.305
0.310,0.210,0.143,0.806,-6.672,3.176,-0.015
0.320,0.205,0.145,0.785,-7.191,3.618,0.153
0.320,0.194,0.144,0.791,-7.634,3.664,0.611
0.320,0.197,0.151,0.785,-8.214,3.573,1.008
0.330,0.202,0.148,0.788,-8.916,3.603,1.344
0.330,0.204,0.146,0.777,-9.908,3.817,1.588
0.340,0.199,0.153,0.772,-10.305,4.092,1.695
0.340,0.202,0.142,0.777,-11.282,3.664,2.137
0.340,0.196,0.145,0.781,-11.618,2.962,2.519
0.350,0.200,0.150,0.782,-12.290,2.809,2.687
0.350,0.208,0.142,0.782,-13.038,2.748,3.069
0.360,0.213,0.143,0.791,-13.740,3.038,3.374
0.360,0.213,0.143,0.792,-14.534,2.824,3.435
