Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,2420,-1020,16752,-462,9,29948
0.01,2524,-1044,16708,-401,265,-8965
0.02,2404,-1092,17040,-331,265,25851
0.03,2416,-920,17164,-249,9,28924
0.04,2440,-912,17116,-142,9,-30468
0.05,2332,-696,17064,-70,9,7421
0.06,2492,-592,16956,-140,9,-17155
0.07,2592,-640,16656,-248,266,8445
0.08,2532,-632,16644,-287,265,-6915
0.09,2624,-600,16572,-340,266,16637
0.1,2484,-568,16740,-459,521,-19203
0.11,2448,-1032,16652,-566,777,-28421
0.12,2028,-720,16732,-611,775,-4867
0.13,2340,-936,16712,-584,777,9468
0.14,1740,-1032,16592,-562,518,-13061
0.15,1852,-1200,16652,-600,519,15611
0.16,1672,-1416,16756,-550,518,-30470
0.17,1584,-1552,16772,-422,518,12537
0.18,1620,-1488,16732,-344,518,21754
0.19,1444,-1320,16644,-317,261,-23302
0.2,1532,-1412,16604,-324,5,-774
0.21,1508,-1496,16800,-293,-251,-6918
0.22,2004,-1596,16904,-181,-249,-11015
0.23,2212,-1468,17052,-116,-248,-23302
0.24,2436,-1372,17132,-98,-247,-31494
0.25,2440,-1252,17008,-72,9,-30469
0.26,2492,-1088,16900,-124,9,-17157
0.27,2428,-1144,16792,-219,265,31995
0.28,2292,-1148,16848,-295,264,-2821
0.29,2148,-1272,16820,-387,8,25851
0.3,1836,-1444,16872,-411,7,11514
0.31,1888,-1636,16856,-358,-249,24825
0.32,2240,-1812,17028,-229,-248,-16136
0.33,2316,-1764,17332,-111,9,3321
0.34,2180,-1496,17092,0,8,-31494
0.35,2192,-1556,16916,-29,8,-28423
0.36,2092,-1580,16988,-112,8,11513
0.37,1972,-1524,16960,-123,-249,-19206
0.38,1844,-1544,16872,-84,-249,13561
0.39,1876,-1492,16984,-88,-249,21754
0.4,2088,-1684,16780,-42,-504,10489
0.41,2180,-1656,16828,23,-248,-31495
0.42,2336,-1616,16848,97,-247,8441
0.43,2372,-1344,16744,177,9,17658
0.44,2120,-984,16620,101,8,18684
0.45,2192,-732,16660,140,8,-28419
0.46,2136,-804,16332,133,8,22780
0.47,2272,-804,16324,29,-248,-7940
0.48,2348,-996,16512,-59,-247,11516
0.49,2548,-1228,16488,-66,-247,-2821
0.5,2476,-1396,16616,27,9,-21254
0.51,2156,-1380,16784,200,264,27898
0.52,1892,-1136,16756,272,263,25851
0.53,1800,-868,16864,289,263,2300
0.54,1636,-848,16712,266,6,25852
0.55,2008,-980,16784,204,7,-9988
0.56,2060,-972,16780,129,8,3324
0.57,2248,-1004,16828,109,8,-14084
0.58,2212,-860,16776,151,8,-23300
0.59,1992,-740,16852,137,263,-14083
0.6,1960,-472,16864,96,263,-22274
0.61,2072,-624,16696,183,264,6397
0.62,2212,-452,16656,140,520,-23298
0.63,2288,-368,16640,47,264,-3842
0.64,2160,-224,16648,-169,520,28927
0.65,2112,24,16860,-150,264,16384
0.66,2604,136,17804,-6,-246,11264
0.67,1668,-148,16700,-141,262,-31489
0.68,1624,-152,16808,-219,262,22783
0.69,1688,-80,16740,-260,6,-26369
0.7,2040,-196,16760,-381,-249,-1793
0.71,2216,-300,16800,-409,8,-22274
0.72,2040,-420,16808,-378,7,-1794
0.73,1836,-284,16700,-413,7,11518
0.74,1816,-628,16684,-421,7,6397
0.75,1816,-904,16840,-382,-249,6396
0.76,1876,-920,16680,-379,-249,21756
0.77,1664,-1096,16732,-365,-506,-32517
0.78,1744,-932,16628,-335,-762,-12036
0.79,1784,-904,16656,-394,-762,-1796
0.8,1816,-924,16716,-472,-761,6396
0.81,1688,-1148,16388,-456,-1018,-26373
0.82,1924,-1188,16548,-370,-1017,-31493
0.83,2176,-1328,16568,-297,-1016,-32518
0.84,2236,-1364,16512,-286,-1016,-17158
0.85,2400,-1548,16452,-230,-1015,24825
0.86,2496,-1396,16532,-157,-1015,-16134
0.87,2636,-1264,16300,-81,-758,19707
0.88,2580,-1280,16352,-140,-758,5371
0.89,2752,-1276,16452,-151,-1014,-16133
0.9,2644,-1272,16244,-126,-246,21755
0.91,2416,-1164,16208,-94,9,28923
0.92,2124,-1236,16184,-57,8,19707
0.93,1948,-1216,15956,40,7,-25349
0.94,1632,-1216,15752,14,-250,24827
0.95,1684,-1148,15652,-15,-250,-27397
0.96,1172,-1100,15544,-84,-508,-27397
0.97,1796,-1116,15640,-263,-761,1275
0.98,1304,-1184,15356,-315,-763,6395
0.99,1276,-1120,15256,-375,-1020,-773
1.0,1308,-1228,15428,-508,-1275,7419
1.01,1656,-1752,15376,-583,-1274,30969
1.02,1720,-2416,15280,-583,-1274,-18186
1.03,1980,-2672,15280,-380,-1273,-17163
1.04,2252,-2728,14772,-201,-1016,-13067
1.05,1952,-2444,14000,74,-761,-24330
1.06,2056,-1716,13732,-1,-248,2297
1.07,1696,-884,13476,-205,262,-24324
1.08,1128,48,13348,-667,516,26624
1.09,860,228,13012,-1116,515,23552
1.1,1068,196,13172,-1484,4,11264
1.11,1516,16,13220,-1772,5,-5120
1.12,2120,-500,13068,-1858,-248,18686
1.13,2632,-984,13008,-1970,-246,18684
1.14,2868,-1228,13036,-1871,11,13563
1.15,2932,-1100,13040,-1565,523,29947
1.16,2552,-620,12724,-1276,1033,-1795
1.17,1656,-64,12764,-1318,1030,30975
1.18,1836,288,13304,-1386,519,11265
1.19,1468,404,12524,-1564,517,-17407
1.2,1696,756,12072,-2012,262,-24574
1.21,2560,1140,11988,-2702,266,4
1.22,3648,976,11924,-3463,782,16387
1.23,4492,444,11724,-4193,1553,-29695
1.24,4016,-256,11820,-4737,2575,-20225
1.25,3740,-732,11976,-5005,3086,-25347
1.26,3008,-1368,12228,-5232,3339,-16134
1.27,2224,-1768,12172,-5456,3592,-20231
1.28,1352,-1968,12108,-5521,3845,18680
1.29,-488,-2068,11756,-5425,4094,6391
1.3,-2704,-2048,11684,-5499,3573,28920
1.31,-3212,-1696,11840,-5874,2291,29945
1.32,-2480,-1812,12400,-6438,1014,20728
1.33,-1140,-2980,13292,-6759,-261,-29452
1.34,284,-4476,14196,-5976,-767,7406
1.35,3368,-3376,14932,-6391,-243,10482
1.36,3476,-3844,14852,-5623,-499,-27408
1.37,2592,-2508,13980,-7380,3338,8438
1.38,2224,-2400,14820,-6408,1544,-20234
1.39,2056,-1968,14292,-5636,1800,2296
1.4,2652,-644,13876,-6475,1802,23805
1.41,2880,-840,13800,-7666,2827,16636
1.42,2096,-1136,14116,-8445,3080,12539
1.43,1332,-2396,14636,-9334,3333,13558
1.44,356,-4168,15432,-10066,3073,25839
1.45,-1132,-6568,16828,-10274,2811,-27418
1.46,-1800,-8232,17380,-9745,2040,-1825
1.47,-1940,-8776,17564,-9241,2040,27869
1.48,-1736,-7976,17368,-9052,2809,14560
1.49,-2320,-7120,16824,-9170,3062,-3868
1.5,-3260,-6804,16712,-9287,2291,17637
1.51,-3120,-7012,16504,-9068,755,-12060
1.52,-2308,-7384,16572,-8707,-522,-797
1.53,-228,-7052,17104,-8480,-1537,7396
1.54,2132,-7080,17380,-8745,-1784,21732
1.55,3296,-7976,17564,-9284,-500,-7968
1.56,2904,-8844,17972,-9436,779,22749
1.57,2304,-9300,17932,-9325,2057,219
1.58,184,-9756,17488,-9133,2816,-18215
1.59,-1520,-10620,17684,-8540,2810,4310
1.6,-3204,-10392,18040,-7794,1779,31959
1.61,-2216,-10556,18316,-7018,-265,22742
1.62,-236,-10872,19096,-5504,-1793,5333
1.63,2528,-10576,19536,-3829,-2039,-7978
1.64,3536,-10356,19732,-2713,-1267,-12073
1.65,3648,-9736,19392,-2137,270,16601
1.66,2980,-9164,18656,-2109,1803,-23332
1.67,1548,-8560,17392,-2424,3078,3294
1.68,-212,-7896,16280,-2983,3583,11489
1.69,-1868,-6872,15552,-3658,3064,-19227
1.7,-2592,-6908,14824,-4274,2549,-7963
1.71,-2716,-7604,14688,-4612,1269,25826
1.72,-2424,-7900,14700,-4703,-10,-30495
1.73,-1680,-8152,14612,-4575,-775,28896
1.74,-588,-8320,14496,-4588,-1283,-19233
1.75,460,-8656,14084,-4781,-1023,-13090
1.76,1332,-8868,13884,-4823,-251,13533
1.77,2016,-8768,13092,-5174,519,-7971
1.78,1788,-8544,12756,-5815,1286,-802
1.79,1152,-9036,12644,-6413,1540,-32548
1.8,220,-9684,12996,-6673,1280,-8998
1.81,-248,-9744,12996,-6701,1535,2265
1.82,-244,-9720,12988,-6927,1535,3290
1.83,-768,-9844,12928,-7196,1789,217
1.84,-648,-9512,12772,-7526,2301,30938
1.85,-216,-9612,12712,-7838,2815,10458
1.86,-464,-10000,12452,-8085,3326,12504
1.87,-1476,-10668,11972,-8301,3834,15574
1.88,-2176,-10516,11216,-9005,3575,-32554
1.89,-2748,-11304,11188,-10025,2805,17619
1.9,-2692,-12248,11740,-10545,2037,31952
1.91,-1864,-12192,12208,-10657,1784,-18224
1.92,-1216,-11976,12252,-10861,1531,16593
1.93,-600,-11584,12268,-11365,1533,-22318
1.94,-12,-11848,12312,-11686,1535,-2863
1.95,840,-11980,12088,-12084,2051,18641
1.96,556,-12364,12136,-12260,2562,11471
1.97,-448,-12660,12308,-12166,2558,16590
1.98,-1668,-13300,12728,-11942,1785,31948
1.99,-2304,-13140,12684,-11762,759,204
2.0,-3132,-13976,13472,-11845,-13,-15159
2.01,-2352,-14392,12560,-12239,-522,-12089
2.02,-1184,-15192,12504,-12695,-1029,24772
2.03,-184,-16836,12752,-13006,-1025,18622
2.04,-24,-17020,12892,-12957,-769,-5955
2.05,-160,-16840,13152,-12716,-769,24766
