Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.256,-0.175,0.865,0.321,4.046,-4.977
0.000,0.256,-0.183,0.871,0.275,3.588,-5.145
0.010,0.249,-0.177,0.861,0.183,3.023,-4.870
0.010,0.253,-0.184,0.877,0.092,2.824,-4.748
0.010,0.245,-0.191,0.869,0.015,2.473,-4.458
0.020,0.241,-0.185,0.875,-0.031,2.580,-4.275
0.020,0.245,-0.184,0.880,-0.137,2.870,-4.015
0.020,0.249,-0.188,0.875,0.000,3.725,-3.924
0.030,0.254,-0.186,0.881,0.290,4.565,-4.122
0.030,0.249,-0.184,0.885,0.290,5.557,-4.031
0.030,0.248,-0.190,0.886,0.489,6.550,-4.000
0.040,0.243,-0.191,0.885,0.641,7.420,-4.183
0.040,0.239,-0.188,0.889,0.855,7.771,-4.137
0.040,0.231,-0.192,0.896,1.191,7.832,-3.695
0.050,0.228,-0.189,0.887,1.221,7.786,-3.573
0.050,0.218,-0.196,0.882,1.389,8.076,-3.725
0.050,0.214,-0.196,0.876,1.695,7.603,-3.878
0.060,0.215,-0.190,0.872,1.664,6.443,-3.802
0.060,0.213,-0.193,0.866,1.344,5.588,-4.229
0.070,0.211,-0.196,0.859,1.115,4.565,-4.397
0.070,0.203,-0.192,0.854,0.611,3.985,-4.443
0.070,0.186,-0.198,0.850,0.336,3.008,-4.107
0.080,0.182,-0.192,0.851,-0.336,1.466,-3.939
0.080,0.179,-0.193,0.849,-1.038,0.061,-4.046
0.090,0.186,-0.198,0.857,-1.710,-0.992,-3.954
0.090,0.180,-0.202,0.860,-2.366,-1.466,-3.695
0.090,0.179,-0.208,0.859,-2.901,-1.618,-3.573
0.100,0.174,-0.212,0.879,-3.374,-1.786,-3.481
0.100,0.179,-0.217,0.881,-3.557,-1.725,-3.191
0.110,0.173,-0.215,0.883,-3.603,-1.176,-3.038
0.110,0.168,-0.225,0.894,-3.206,-0.718,-2.840
0.110,0.155,-0.223,0.906,-2.718,-0.809,-2.305
0.120,0.138,-0.219,0.914,-2.107,-1.053,-1.786
0.120,0.138,-0.225,0.901,-1.908,-0.885,-0.855
0.130,0.133,-0.228,0.909,-1.466,-0.626,-0.092
0.130,0.140,-0.223,0.924,-0.656,-0.748,0.855
0.130,0.142,-0.220,0.918,-0.092,-0.748,1.420
0.140,0.149,-0.222,0.918,0.718,-0.443,1.908
0.140,0.149,-0.224,0.926,1.298,-0.595,2.351
0.150,0.158,-0.219,0.923,1.313,-0.702,2.641
0.150,0.169,-0.212,0.930,1.847,-1.237,3.008
0.150,0.181,-0.209,0.924,2.137,-1.252,2.779
0.160,0.183,-0.216,0.934,2.550,-1.740,2.473
0.160,0.186,-0.210,0.925,2.840,-1.847,2.168
0.170,0.191,-0.206,0.925,3.115,-1.542,2.260
0.170,0.185,-0.208,0.930,3.847,-1.267,2.183
0.170,0.172,-0.198,0.926,4.595,-1.664,2.351
0.180,0.164,-0.196,0.912,5.359,-3.099,2.779
0.180,0.165,-0.197,0.914,6.076,-3.969,3.435
0.190,0.171,-0.198,0.905,6.427,-4.107,3.695
0.190,0.176,-0.192,0.901,7.191,-3.557,4.031
0.190,0.181,-0.194,0.896,7.603,-3.496,4.336
0.200,0.178,-0.192,0.893,7.939,-3.130,4.840
0.200,0.175,-0.191,0.884,8.137,-2.840,5.481
0.200,0.181,-0.189,0.875,8.168,-2.366,6.183
0.210,0.181,-0.186,0.875,7.710,-1.954,6.427
0.210,0.194,-0.172,0.851,7.496,-1.206,6.901
0.220,0.206,-0.170,0.864,6.870,-0.580,7.008
0.220,0.211,-0.168,0.856,6.443,0.107,7.344
0.220,0.218,-0.168,0.851,5.893,0.351,7.527
0.230,0.216,-0.168,0.850,5.099,0.412,7.435
0.230,0.227,-0.169,0.838,5.008,0.779,7.313
0.240,0.228,-0.161,0.828,4.489,1.328,7.176
0.240,0.232,-0.157,0.829,3.649,1.496,7.618
0.240,0.238,-0.160,0.824,3.206,1.618,7.664
0.250,0.241,-0.160,0.832,3.084,1.206,7.527
0.250,0.251,-0.160,0.831,2.229,0.565,7.450
