Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000,0.252,-0.281,0.833,-1.893,1.863,0.580
0.000,0.250,-0.288,0.839,-1.908,2.611,0.718
0.010,0.251,-0.290,0.842,-1.893,2.809,0.718
0.010,0.252,-0.290,0.837,-1.847,3.267,0.870
0.010,0.245,-0.292,0.832,-1.786,3.435,0.718
0.020,0.257,-0.286,0.841,-1.802,3.573,0.870
0.020,0.259,-0.292,0.831,-1.588,3.695,0.794
0.020,0.248,-0.285,0.841,-1.481,3.969,0.672
0.030,0.248,-0.290,0.840,-1.695,3.573,0.733
0.030,0.249,-0.292,0.835,-1.695,3.069,0.763
0.030,0.250,-0.291,0.828,-2.122,2.885,0.641
0.040,0.256,-0.289,0.829,-2.107,2.809,0.718
0.040,0.250,-0.295,0.845,-2.214,2.885,0.580
0.040,0.249,-0.293,0.838,-2.031,1.893,0.489
0.050,0.247,-0.290,0.846,-2.214,1.252,0.748
0.050,0.248,-0.287,0.848,-1.985,0.977,0.641
0.050,0.253,-0.286,0.850,-1.618,0.748,0.824
0.060,0.260,-0.286,0.857,-1.252,0.534,0.626
0.060,0.256,-0.287,0.841,-0.977,0.366,0.656
0.070,0.256,-0.283,0.837,-0.855,0.260,0.550
0.070,0.254,-0.283,0.839,-0.626,0.595,0.611
0.070,0.254,-0.281,0.832,-0.733,1.344,0.779
0.080,0.264,-0.279,0.824,-1.176,1.985,0.794
0.080,0.267,-0.272,0.819,-1.298,2.397,1.191
0.090,0.260,-0.271,0.829,-1.725,2.672,1.069
0.090,0.261,-0.270,0.828,-2.092,2.870,1.298
0.090,0.257,-0.276,0.823,-2.427,2.397,1.298
0.100,0.262,-0.281,0.824,-2.855,1.878,1.008
0.100,0.263,-0.280,0.832,-3.450,1.206,0.840
0.100,0.267,-0.275,0.828,-3.710,0.519,0.687
0.110,0.260,-0.281,0.839,-3.832,-0.244,0.366
0.110,0.262,-0.280,0.838,-4.076,-0.824,0.229
0.120,0.255,-0.284,0.834,-4.015,-1.725,0.168
0.120,0.255,-0.287,0.847,-4.214,-2.626,0.504
0.120,0.253,-0.288,0.851,-4.000,-2.824,0.351
0.130,0.262,-0.290,0.848,-3.603,-2.794,0.473
0.130,0.262,-0.292,0.862,-3.359,-2.763,0.565
0.140,0.270,-0.294,0.866,-2.870,-2.458,0.443
0.140,0.268,-0.303,0.868,-2.611,-1.969,0.214
0.140,0.275,-0.297,0.854,-2.092,-1.817,0.198
0.150,0.276,-0.296,0.870,-1.908,-1.817,0.092
0.150,0.271,-0.297,0.872,-1.618,-1.618,0.107
0.160,0.267,-0.296,0.868,-1.740,-1.084,-0.015
0.160,0.270,-0.291,0.861,-1.725,-0.794,0.031
0.160,0.266,-0.287,0.864,-1.405,-1.053,-0.107
0.170,0.256,-0.292,0.865,-1.298,-1.008,-0.168
0.170,0.259,-0.282,0.852,-1.160,-1.099,-0.168
0.180,0.250,-0.281,0.857,-1.267,-1.786,-0.168
0.180,0.243,-0.281,0.851,-1.221,-2.229,0.244
0.180,0.240,-0.279,0.846,-1.160,-2.198,0.397
0.190,0.246,-0.273,0.844,-1.466,-2.931,0.626
0.190,0.246,-0.275,0.833,-1.679,-3.237,0.840
0.200,0.246,-0.274,0.833,-2.244,-3.145,0.916
0.200,0.249,-0.276,0.834,-2.443,-3.298,0.885
0.200,0.251,-0.279,0.834,-2.870,-3.069,1.313
0.210,0.259,-0.277,0.844,-3.176,-2.214,1.450
0.210,0.262,-0.277,0.846,-3.069,-1.542,1.786
0.220,0.271,-0.282,0.854,-2.794,-0.550,1.924
0.220,0.279,-0.289,0.858,-2.397,0.534,1.969
0.220,0.283,-0.283,0.876,-1.649,1.145,1.802
0.230,0.284,-0.279,0.869,-1.267,1.420,1.405
0.230,0.282,-0.280,0.860,-1.023,1.603,1.038
0.240,0.291,-0.283,0.869,-0.824,1.634,0.702
0.240,0.291,-0.283,0.868,-0.366,1.756,0.107
0.240,0.288,-0.287,0.862,0.061,1.496,-0.366
0.250,0.269,-0.287,0.859,0.229,0.885,-0.565
0.250,0.271,-0.286,0.856,0.397,0.397,-0.687
0.260,0.267,-0.279,0.845,0.443,-0.031,-0.840
0.260,0.261,-0.281,0.838,0.687,-0.489,-0.794
0.260,0.265,-0.282,0.844,0.885,-0.794,-1.069
0.270,0.248,-0.278,0.830,0.733,-1.740,-1.099
0.270,0.250,-0.278,0.824,0.336,-2.397,-0.901
0.280,0.249,-0.273,0.831,0.061,-2.626,-0.947
0.280,0.243,-0.278,0.831,-0.397,-2.519,-0.641
0.280,0.248,-0.281,0.828,-0.977,-2.824,-0.672
0.290,0.253,-0.281,0.821,-1.313,-2.626,-0.580
0.290,0.245,-0.274,0.826,-1.542,-2.061,-0.366
0.300,0.242,-0.278,0.816,-2.000,-2.031,0.092
0.300,0.252,-0.290,0.825,-2.046,-1.817,0.443
0.300,0.253,-0.284,0.828,-2.183,-1.313,0.260
0.310,0.259,-0.284,0.840,-2.198,-0.794,0.580
0.310,0.271,-0.282,0.852,-2.061,-0.260,0.229
0.320,0.274,-0.280,0.853,-1.771,0.244,-0.015
0.320,0.272,-0.281,0.854,-1.450,0.656,-0.198
0.320,0.271,-0.277,0.847,-1.252,0.397,-0.443
0.330,0.269,-0.282,0.855,-1.221,0.260,-0.504
0.330,0.268,-0.280,0.854,-1.145,0.748,-0.595
0.340,0.268,-0.283,0.847,-0.916,0.702,-0.626
0.340,0.266,-0.279,0.854,-0.931,0.962,-0.595
0.340,0.273,-0.286,0.854,-0.412,1.145,-0.779
0.350,0.271,-0.286,0.849,-0.015,1.817,-0.641
0.350,0.271,-0.287,0.843,0.015,2.611,-0.733
0.360,0.263,-0.288,0.843,0.107,2.870,-0.580
0.360,0.256,-0.285,0.836,0.473,2.809,-0.534
0.360,0.257,-0.287,0.833,0.244,3.069,-0.809
0.370,0.255,-0.286,0.825,0.122,3.374,-0.595
0.370,0.243,-0.283,0.807,0.153,3.542,-0.519
0.380,0.243,-0.278,0.812,-0.183,3.176,-0.458
0.380,0.238,-0.283,0.818,-0.763,2.748,-0.153
0.380,0.245,-0.276,0.819,-1.191,2.458,-0.137
0.390,0.243,-0.283,0.815,-1.679,1.802,0.107
0.390,0.242,-0.281,0.816,-2.183,1.527,0.244
0.400,0.251,-0.283,0.824,-2.336,0.885,0.122
0.400,0.250,-0.280,0.827,-2.595,0.382,0.198
0.400,0.256,-0.287,0.827,-2.763,0.000,0.336
0.410,0.261,-0.289,0.834,-2.824,0.046,0.290
0.410,0.268,-0.285,0.843,-2.824,0.031,0.183
0.410,0.270,-0.281,0.845,-2.901,0.153,0.092
0.420,0.267,-0.281,0.838,-2.763,0.718,-0.092
0.420,0.268,-0.277,0.840,-2.611,1.176,-0.198
0.430,0.269,-0.281,0.827,-2.519,1.634,-0.214
0.430,0.265,-0.278,0.834,-2.626,2.000,-0.107
0.430,0.268,-0.275,0.830,-2.382,2.870,0.107
0.440,0.264,-0.277,0.838,-2.534,3.420,0.443
0.440,0.266,-0.275,0.826,-2.504,3.634,0.397
0.450,0.261,-0.280,0.833,-2.595,4.046,0.458
0.450,0.260,-0.270,0.830,-2.779,4.351,0.489
0.450,0.263,-0.268,0.817,-3.084,4.718,0.611
0.460,0.265,-0.279,0.828,-3.557,4.687,0.473
0.460,0.267,-0.275,0.827,-3.542,5.130,0.443
