Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.026,-0.135,0.894,-1.771,-0.504,-2.000
0.000,0.026,-0.151,0.902,-0.962,-0.565,-1.954
0.010,0.026,-0.139,0.913,-0.137,-1.023,-1.817
0.010,0.019,-0.139,0.917,0.382,-0.718,-1.802
0.010,0.017,-0.143,0.909,0.626,-0.550,-1.649
0.020,0.019,-0.138,0.905,0.824,-0.611,-1.328
0.020,0.018,-0.136,0.906,1.145,-1.130,-1.420
0.020,0.022,-0.141,0.888,1.405,-1.282,-1.664
0.030,0.024,-0.135,0.891,1.328,-1.160,-1.557
0.030,0.018,-0.134,0.888,1.099,-1.344,-1.542
0.030,0.019,-0.137,0.874,0.901,-1.328,-1.405
0.040,0.016,-0.137,0.877,0.321,-1.359,-1.511
0.040,0.018,-0.138,0.872,0.000,-1.084,-1.176
0.040,0.013,-0.133,0.859,-0.794,-1.084,-1.038
0.050,0.012,-0.134,0.865,-1.374,-0.748,-1.038
0.050,0.020,-0.131,0.869,-2.260,-0.901,-0.977
0.060,0.016,-0.132,0.872,-2.351,-0.168,-0.916
0.060,0.012,-0.130,0.873,-2.718,0.229,-0.519
0.060,-0.001,-0.130,0.885,-3.176,-0.473,-0.397
0.070,0.016,-0.133,0.883,-2.733,-0.763,-0.595
0.070,0.023,-0.133,0.885,-2.458,-0.214,-0.534
0.080,0.024,-0.133,0.898,-2.122,-0.137,-0.458
0.080,0.020,-0.132,0.891,-2.046,0.015,-0.229
0.080,0.025,-0.133,0.887,-1.450,-0.076,-0.290
0.090,0.032,-0.128,0.880,-1.145,0.000,-0.382
0.090,0.026,-0.129,0.881,-1.298,0.153,-0.031
0.100,0.025,-0.128,0.869,-1.221,0.458,-0.076
0.100,0.021,-0.125,0.876,-1.527,0.122,0.000
0.100,0.026,-0.126,0.870,-1.954,0.183,0.092
0.110,0.032,-0.129,0.874,-2.092,0.840,0.015
0.110,0.027,-0.131,0.884,-2.504,1.664,0.137
0.120,0.033,-0.129,0.885,-2.290,2.275,0.336
0.120,0.022,-0.130,0.878,-2.565,2.870,0.534
0.120,0.015,-0.135,0.884,-2.779,3.649,0.748
0.130,0.024,-0.139,0.879,-2.473,3.908,0.855
0.130,0.026,-0.141,0.895,-2.351,4.092,0.489
0.140,0.021,-0.141,0.894,-2.321,4.198,0.473
0.140,0.014,-0.141,0.897,-2.137,4.092,0.550
0.140,0.016,-0.143,0.898,-1.832,3.649,0.504
0.150,0.007,-0.146,0.899,-1.985,3.099,0.626
0.150,0.004,-0.148,0.888,-2.198,2.031,0.794
0.150,0.010,-0.142,0.894,-2.168,1.542,0.901
0.160,0.012,-0.144,0.891,-2.000,1.191,0.901
0.160,0.012,-0.148,0.899,-2.137,1.267,1.191
0.170,0.014,-0.147,0.893,-1.969,1.588,1.130
0.170,0.021,-0.144,0.881,-1.893,1.435,1.084
0.170,0.019,-0.145,0.896,-2.214,0.840,1.130
0.180,0.022,-0.138,0.885,-1.969,1.191,1.038
0.180,0.018,-0.142,0.893,-2.183,1.053,1.069
0.190,0.025,-0.140,0.903,-2.321,1.160,1.023
0.190,0.014,-0.142,0.890,-1.863,0.641,1.008
0.190,0.017,-0.141,0.888,-2.031,0.000,1.023
0.200,0.024,-0.137,0.889,-1.832,0.168,1.130
0.200,0.032,-0.141,0.896,-1.603,0.580,0.916
0.210,0.036,-0.137,0.887,-1.588,0.733,0.718
0.210,0.038,-0.141,0.898,-1.435,0.977,0.443
0.210,0.041,-0.138,0.887,-1.176,1.450,0.427
0.220,0.034,-0.137,0.879,-1.008,1.618,0.473
0.220,0.034,-0.135,0.883,-1.588,1.542,0.489
0.230,0.041,-0.133,0.885,-1.481,1.634,0.214
0.230,0.041,-0.139,0.880,-1.344,1.389,-0.137
0.230,0.042,-0.140,0.886,-1.786,1.130,-0.702
0.240,0.043,-0.137,0.880,-2.351,0.779,-1.008
0.240,0.036,-0.135,0.887,-2.580,0.275,-1.313
0.250,0.036,-0.146,0.891,-2.595,0.137,-1.634
0.250,0.034,-0.144,0.904,-2.275,0.122,-1.786
0.250,0.038,-0.146,0.908,-2.382,0.198,-2.260
0.260,0.030,-0.150,0.907,-1.802,0.107,-2.305
0.260,0.025,-0.153,0.912,-1.405,0.153,-2.412
0.270,0.014,-0.146,0.907,-1.069,0.198,-2.198
0.270,0.018,-0.144,0.906,-1.053,0.076,-2.153
0.270,0.018,-0.143,0.902,-0.687,0.458,-1.954
0.280,0.013,-0.146,0.896,-0.305,0.794,-1.710
0.280,0.002,-0.145,0.901,-0.275,0.763,-1.481
0.290,-0.002,-0.139,0.882,-0.565,0.061,-0.947
0.290,0.010,-0.134,0.886,-0.519,-0.214,-1.069
0.290,0.016,-0.131,0.887,-0.305,0.244,-0.916
0.300,0.013,-0.133,0.883,-0.779,-0.198,-1.008
