Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,-0.007,-0.192,0.868,5.511,1.130,-0.794
0.000,0.001,-0.182,0.876,6.458,2.733,-0.336
0.010,-0.003,-0.177,0.870,5.924,0.443,-0.061
0.010,-0.036,-0.178,0.855,4.321,-5.191,-0.092
0.010,-0.042,-0.177,0.849,3.481,-9.282,-0.550
0.020,-0.008,-0.172,0.851,2.885,-8.534,-0.702
0.020,0.003,-0.174,0.862,3.084,-6.840,-0.565
0.020,0.002,-0.172,0.874,2.626,-5.420,-0.336
0.030,0.003,-0.180,0.878,2.519,-5.206,-0.137
0.030,-0.006,-0.183,0.880,2.412,-6.046,-0.107
0.030,-0.011,-0.183,0.880,3.237,-6.885,-0.198
0.040,0.006,-0.182,0.890,3.282,-7.542,-0.351
0.040,0.021,-0.187,0.894,3.649,-6.733,-0.412
0.040,0.022,-0.188,0.893,4.015,-6.031,-0.168
0.050,0.014,-0.182,0.891,3.863,-4.305,-0.550
0.050,0.018,-0.184,0.880,3.130,-2.779,-0.550
0.060,0.020,-0.181,0.885,3.023,-2.244,-0.183
0.060,0.026,-0.185,0.893,2.382,-0.015,-0.321
0.060,0.019,-0.176,0.883,1.130,1.908,-0.641
0.070,0.011,-0.178,0.870,-0.168,3.481,-0.809
0.070,0.001,-0.174,0.868,-1.023,4.595,-1.008
0.080,0.000,-0.180,0.878,-1.069,4.962,-0.794
0.080,-0.007,-0.180,0.888,-1.298,5.221,-0.718
0.080,-0.007,-0.177,0.884,-1.008,5.588,-0.382
0.090,-0.013,-0.181,0.886,-1.145,6.168,-0.473
0.090,-0.017,-0.184,0.877,-1.160,5.573,-0.580
0.100,-0.030,-0.182,0.861,-0.809,3.832,-0.885
0.100,-0.026,-0.179,0.875,-0.305,2.443,-1.206
0.100,-0.031,-0.180,0.875,0.000,1.237,-0.931
0.110,-0.031,-0.177,0.870,0.137,0.611,-0.656
0.110,-0.034,-0.173,0.857,-0.153,0.336,-0.458
0.120,-0.034,-0.169,0.861,-0.458,-0.916,-0.260
0.120,-0.028,-0.166,0.867,-0.153,-2.031,0.183
0.120,-0.023,-0.166,0.846,-1.282,-2.229,-0.244
0.130,-0.019,-0.168,0.861,-1.832,-2.412,-0.076
0.130,-0.005,-0.168,0.874,-2.046,-2.198,0.290
0.140,0.002,-0.169,0.878,-2.595,-1.099,0.489
0.140,0.005,-0.172,0.869,-2.458,-0.443,0.809
0.140,0.004,-0.180,0.881,-2.153,-0.336,0.916
0.150,0.010,-0.180,0.891,-1.542,-0.153,0.947
0.150,0.005,-0.185,0.895,-0.885,-0.122,0.626
0.160,0.003,-0.182,0.889,-1.023,-0.489,0.183
0.160,0.010,-0.189,0.909,-0.901,-1.344,0.000
