Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.48,0.12,0.91,-45.22,12.15,-13.45
0.000020,0.49,0.12,0.92,-38.56,9.42,-13.05
0.000030,0.50,0.12,0.95,-30.75,8.87,-13.18
0.000050,0.52,0.14,0.98,-23.82,7.22,-11.65
0.000060,0.53,0.15,1.03,-20.41,7.25,-8.73
0.000070,0.52,0.14,1.04,-20.06,6.79,-5.68
0.000090,0.52,0.14,1.03,-20.93,0.08,-3.98
0.000100,0.51,0.13,1.00,-18.58,-2.93,-1.19
0.000110,0.49,0.12,0.98,-14.50,-7.86,0.05
0.000130,0.50,0.10,0.96,-8.72,-10.23,0.90
0.000140,0.49,0.10,0.94,-5.24,-8.99,0.60
0.000150,0.48,0.10,0.93,-2.60,-8.38,-0.70
0.000170,0.50,0.09,0.93,-0.02,-5.19,-2.46
0.000180,0.50,0.10,0.93,3.73,-1.16,-3.51
0.000190,0.50,0.10,0.95,7.98,1.04,-2.84
0.000210,0.50,0.11,0.99,10.75,-0.41,-1.89
0.000220,0.51,0.12,1.02,10.47,0.17,1.79
0.000230,0.51,0.13,1.04,7.82,0.66,3.79
0.000240,0.50,0.12,1.03,4.75,-1.30,5.62
0.000260,0.48,0.12,1.00,3.85,-1.50,6.92
0.000270,0.47,0.10,0.99,4.79,-3.39,6.82
0.000280,0.47,0.10,0.98,6.14,-3.65,6.24
0.000300,0.47,0.10,0.96,7.59,-3.89,5.21
0.000310,0.47,0.10,0.97,7.68,-2.99,3.74
0.000320,0.46,0.11,0.97,7.45,-2.17,2.95
0.000340,0.47,0.11,0.96,6.81,-2.78,2.32
0.000350,0.48,0.11,0.98,5.73,-1.60,3.01
0.000360,0.47,0.12,0.97,3.50,-0.09,3.54
0.000380,0.46,0.12,0.95,1.56,-1.01,4.20
0.000390,0.47,0.11,0.95,1.18,-0.56,4.90
0.000400,0.46,0.11,0.96,1.97,-0.95,4.79
0.000420,0.45,0.11,0.96,2.29,0.69,4.73
0.000430,0.45,0.11,0.97,1.77,0.55,4.69
0.000440,0.44,0.11,0.96,1.08,-0.26,4.09
0.000450,0.44,0.11,0.97,1.39,-0.69,3.53
0.000470,0.43,0.11,0.98,2.44,-2.14,2.55
0.000480,0.43,0.10,0.99,3.24,-4.60,2.20
0.000490,0.42,0.10,0.99,3.08,-6.69,1.69
0.000510,0.43,0.10,0.98,2.96,-9.05,0.41
0.000520,0.44,0.10,0.98,3.77,-8.50,-0.55
0.000530,0.44,0.10,0.98,4.79,-7.21,-1.45
0.000550,0.46,0.10,0.97,5.60,-4.32,-1.66
0.000560,0.45,0.11,0.99,5.36,-3.31,-1.44
0.000570,0.45,0.11,1.00,5.01,-1.94,-1.65
0.000590,0.45,0.11,1.00,5.24,-1.40,-1.51
0.000600,0.45,0.12,0.99,5.07,-1.39,-2.12
0.000610,0.46,0.11,1.00,4.85,-0.32,-2.34
0.000630,0.46,0.12,1.00,4.21,-0.35,-2.87
0.000640,0.46,0.12,1.00,3.56,0.02,-2.87
0.000650,0.47,0.13,0.99,2.85,1.27,-2.40
0.000660,0.47,0.13,0.98,2.38,0.34,-0.95
0.000680,0.47,0.13,0.98,1.82,1.76,-0.58
0.000690,0.47,0.13,0.97,0.32,3.89,-0.41
0.000700,0.46,0.12,0.97,-0.67,4.37,-0.40
0.000720,0.45,0.13,0.97,-1.02,2.84,-0.26
0.000730,0.45,0.12,0.96,-0.23,4.05,-0.06
0.000740,0.44,0.12,0.98,-0.56,3.39,-0.46
0.000760,0.45,0.12,0.97,-0.61,3.42,0.05
0.000770,0.45,0.12,0.98,-0.43,3.13,-0.40
0.000780,0.44,0.11,0.98,-0.27,2.63,-0.90
0.000800,0.43,0.11,0.97,0.09,3.24,-2.72
0.000810,0.44,0.11,0.96,0.98,2.93,-4.02
0.000820,0.46,0.12,0.98,1.79,3.51,-4.08
0.000840,0.46,0.12,0.98,2.12,3.92,-3.50
0.000850,0.46,0.13,0.97,1.44,3.05,-3.25
0.000860,0.46,0.12,0.97,1.76,3.24,-2.61
0.000880,0.45,0.12,0.97,2.37,3.02,-2.40
0.000890,0.46,0.12,0.97,2.55,3.86,-2.95
0.000900,0.45,0.13,0.98,2.72,3.56,-3.15
0.000920,0.45,0.13,0.98,1.56,3.01,-3.33
0.000930,0.45,0.14,0.97,0.61,2.43,-2.85
0.000940,0.45,0.14,0.97,-0.35,-0.05,-2.93
0.000960,0.45,0.13,0.96,-0.73,0.70,-2.82
0.000970,0.45,0.14,0.97,-0.18,-1.31,-1.89
0.000980,0.45,0.13,0.98,-0.75,-0.60,-1.66
0.001000,0.44,0.13,0.98,-1.65,-0.15,-1.53
0.001010,0.43,0.14,0.97,-3.44,-1.07,-1.02
0.001020,0.42,0.13,0.96,-4.14,-4.99,-0.67
0.001040,0.42,0.13,0.95,-4.50,-6.72,-1.15
0.001050,0.41,0.13,0.93,-4.41,-6.12,-1.62
0.001060,0.40,0.13,0.93,-3.16,-6.18,-1.80
0.001080,0.41,0.13,0.92,-3.24,-5.54,-3.05
0.001090,0.43,0.14,0.90,-3.47,-1.65,-2.75
0.001100,0.44,0.15,0.88,-5.18,7.33,-2.93
