Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.09,0.08,1.06,-0.43,0.77,-0.03
0.000020,0.08,0.08,1.06,-0.94,-2.61,-0.08
0.000030,0.08,0.07,1.06,-0.36,-3.47,0.30
0.000050,0.08,0.07,1.06,-0.52,-2.69,0.36
0.000060,0.08,0.07,1.08,-0.63,-0.71,0.63
0.000070,0.06,0.08,1.07,-1.55,-2.79,0.48
0.000090,0.06,0.08,1.07,-1.03,-2.31,0.52
0.000100,0.07,0.08,1.07,-0.49,-3.29,-0.01
0.000110,0.07,0.09,1.08,-1.45,-5.15,-0.04
0.000130,0.11,0.07,1.07,-1.38,0.24,0.99
0.000140,0.09,0.07,1.08,-1.79,0.63,1.47
0.000150,0.08,0.06,1.08,-1.79,-0.68,1.73
0.000160,0.09,0.04,1.08,-1.20,-1.05,2.57
0.000180,0.06,0.04,1.08,-0.79,-2.15,2.57
0.000190,0.06,0.03,1.07,-1.57,-4.24,1.67
0.000200,0.08,0.03,1.05,-1.11,-2.73,0.67
0.000220,0.10,0.04,1.03,-0.36,-4.95,-0.16
0.000230,0.13,0.05,1.03,2.05,-7.31,-0.34
0.000240,0.16,0.07,1.06,4.09,-4.37,0.52
0.000260,0.17,0.08,1.08,3.56,-3.02,1.98
0.000270,0.18,0.08,1.12,2.94,1.99,4.45
0.000280,0.13,0.05,1.15,0.53,3.66,6.66
0.000300,0.07,0.03,1.16,-1.52,5.97,6.98
0.000310,0.02,0.01,1.15,-1.82,7.49,5.97
0.000320,0.02,-0.01,1.17,-0.83,10.92,6.05
0.000340,-0.02,-0.02,1.18,-0.47,10.66,5.47
0.000350,-0.03,-0.04,1.21,-2.03,8.50,4.15
0.000360,-0.03,-0.06,1.21,-3.09,10.63,2.24
0.000380,-0.01,-0.06,1.21,-5.42,11.47,2.13
0.000390,-0.04,-0.04,1.23,-6.31,14.01,2.90
0.000400,-0.07,-0.01,1.25,-7.36,12.60,1.76
0.000420,-0.09,0.00,1.20,-7.43,8.92,-1.84
0.000430,-0.07,0.02,1.16,-7.69,4.68,-6.31
0.000440,-0.04,0.05,1.11,-6.15,1.95,-9.67
0.000460,0.01,0.08,1.09,-3.21,-0.66,-11.08
