Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.02,-0.25,1.13,0.53,-30.16,-7.29
0.000020,0.00,-0.23,1.09,2.58,-25.22,-5.93
0.000030,0.01,-0.26,1.11,6.90,-15.92,-6.91
0.000050,-0.02,-0.24,1.06,-0.15,-8.85,-8.78
0.000060,-0.03,-0.24,1.10,-2.65,-15.65,-6.61
0.000070,-0.02,-0.26,1.12,-6.15,-19.18,-8.47
0.000090,0.00,-0.25,1.12,-3.05,-22.42,-10.96
0.000100,0.00,-0.25,1.08,-0.82,-15.24,-10.11
0.000110,-0.01,-0.25,1.07,-1.85,-8.98,-8.26
0.000130,-0.03,-0.25,1.07,-4.21,-5.46,-6.16
0.000140,-0.03,-0.26,1.09,-6.15,-5.83,-4.96
0.000150,-0.02,-0.26,1.08,-7.08,-5.66,-5.06
0.000170,-0.01,-0.26,1.09,-6.90,-3.35,-5.11
0.000180,-0.01,-0.25,1.09,-5.34,-0.56,-5.47
0.000190,-0.02,-0.25,1.09,-4.45,1.60,-4.79
0.000210,-0.04,-0.25,1.08,-4.75,3.16,-5.13
0.000220,-0.06,-0.26,1.09,-5.32,3.81,-4.56
0.000230,-0.07,-0.26,1.09,-5.91,4.11,-3.85
0.000250,-0.08,-0.28,1.10,-5.87,0.82,-2.50
0.000260,-0.07,-0.29,1.12,-6.18,2.90,-0.64
0.000270,-0.07,-0.30,1.12,-4.24,4.60,1.39
0.000290,-0.06,-0.29,1.11,-2.06,7.29,2.82
0.000300,-0.05,-0.28,1.10,-0.56,9.30,4.75
0.000310,-0.05,-0.28,1.08,-0.08,9.24,5.76
0.000330,-0.05,-0.28,1.08,0.22,11.59,6.95
0.000340,-0.03,-0.28,1.05,0.11,14.58,7.53
0.000350,-0.02,-0.28,1.04,0.38,18.22,7.93
0.000370,-0.03,-0.27,1.03,-0.09,21.89,7.89
0.000380,-0.05,-0.26,1.03,-0.54,21.72,7.87
0.000390,-0.06,-0.26,1.04,-1.99,19.43,7.92
0.000410,-0.07,-0.26,1.05,-2.53,15.21,7.91
0.000420,-0.05,-0.26,1.06,-2.13,12.21,7.64
0.000430,-0.05,-0.26,1.06,-0.67,11.26,6.95
0.000450,-0.04,-0.25,1.05,0.56,11.61,6.49
0.000460,-0.06,-0.26,1.05,0.92,11.95,6.62
0.000470,-0.06,-0.25,1.05,-0.01,10.54,6.56
0.000490,-0.07,-0.25,1.05,-1.75,6.79,6.57
0.000500,-0.06,-0.25,1.06,-3.18,3.47,5.94
0.000510,-0.05,-0.25,1.06,-2.41,3.68,4.94
0.000530,-0.05,-0.25,1.07,-0.53,4.47,4.90
0.000540,-0.05,-0.25,1.06,-0.04,4.79,4.94
0.000550,-0.05,-0.26,1.07,0.06,2.19,4.52
0.000570,-0.05,-0.25,1.06,-0.73,1.59,4.23
0.000580,-0.05,-0.24,1.04,-1.00,1.52,3.98
0.000590,-0.04,-0.25,1.06,-1.85,-0.75,2.47
0.000610,-0.05,-0.24,1.06,-2.41,-3.44,1.36
0.000620,-0.05,-0.24,1.04,-2.17,-2.24,1.13
0.000630,-0.04,-0.24,1.03,-1.96,-0.09,1.02
0.000650,-0.04,-0.24,1.05,-2.15,-1.47,0.65
0.000660,-0.03,-0.24,1.04,-3.16,-0.89,-0.27
0.000670,-0.04,-0.25,1.04,-3.37,-0.77,-0.74
0.000690,-0.04,-0.26,1.04,-2.31,0.32,-1.40
0.000700,-0.04,-0.26,1.04,-1.19,1.68,-2.15
0.000710,-0.06,-0.26,1.02,0.14,0.47,-3.02
0.000730,-0.06,-0.26,1.00,0.15,-0.70,-3.43
0.000740,-0.06,-0.25,0.99,-1.21,-2.21,-3.19
0.000760,-0.05,-0.24,1.00,-3.60,-3.66,-3.20
0.000770,-0.04,-0.25,1.02,-4.79,-4.73,-3.40
0.000780,-0.05,-0.26,1.03,-3.90,-3.50,-3.91
0.000800,-0.05,-0.25,1.02,-1.78,-3.53,-3.83
0.000810,-0.05,-0.25,1.02,-0.57,-3.82,-3.91
0.000820,-0.07,-0.24,0.99,-6.37,-4.14,-0.58
0.000840,-0.05,-0.25,1.02,-6.33,-1.44,-3.76
0.000850,-0.04,-0.24,0.99,-3.93,-11.73,-6.36
0.000860,-0.06,-0.24,0.99,-5.82,-2.60,-6.59
0.000880,-0.07,-0.24,0.98,-4.49,-5.18,-5.64
0.000890,-0.07,-0.24,0.98,-8.29,-4.17,-4.83
0.000900,-0.07,-0.25,0.99,-11.10,-5.55,-5.75
0.000920,-0.06,-0.24,1.00,-11.64,-9.74,-5.88
0.000930,-0.06,-0.25,1.01,-11.33,-7.31,-5.64
0.000950,-0.06,-0.26,1.00,-10.47,-5.00,-5.43
0.000960,-0.06,-0.25,1.00,-10.17,-2.92,-5.06
0.000970,-0.07,-0.26,1.00,-10.63,-3.79,-5.12
0.000990,-0.08,-0.26,1.00,-12.28,-5.85,-4.47
0.001000,-0.07,-0.27,0.99,-13.67,-3.51,-3.98
0.001010,-0.07,-0.27,0.98,-13.87,-2.72,-3.69
0.001030,-0.08,-0.27,0.97,-14.15,-2.66,-2.89
0.001040,-0.08,-0.28,0.97,-14.60,-2.47,-2.29
0.001050,-0.07,-0.29,0.96,-15.15,-1.66,-1.24
0.001070,-0.06,-0.29,0.95,-14.94,0.50,-0.42
0.001080,-0.06,-0.29,0.95,-15.50,2.25,-0.54
0.001090,-0.07,-0.29,0.95,-16.30,2.26,-0.49
0.001110,-0.07,-0.29,0.94,-18.05,1.51,0.27
0.001120,-0.06,-0.30,0.96,-19.14,-1.03,-0.06
0.001140,-0.07,-0.31,0.97,-19.51,-3.02,-0.62
0.001150,-0.08,-0.31,0.97,-20.16,-4.30,0.25
0.001160,-0.07,-0.31,0.96,-20.23,-5.85,0.11
0.001180,-0.07,-0.32,0.98,-20.89,-6.43,1.08
0.001190,-0.06,-0.33,1.00,-20.86,-7.57,1.42
0.001200,-0.05,-0.35,1.00,-19.39,-5.89,1.30
0.001220,-0.05,-0.34,0.97,-16.38,-3.14,2.25
0.001230,-0.05,-0.34,0.95,-14.82,1.32,3.18
0.001240,-0.04,-0.34,0.94,-15.55,2.80,3.58
0.001260,-0.03,-0.34,0.93,-16.34,3.11,3.24
0.001270,-0.03,-0.34,0.93,-17.15,4.88,2.44
0.001280,-0.03,-0.35,0.92,-16.86,6.38,1.94
0.001300,-0.02,-0.35,0.89,-15.91,9.35,0.95
0.001310,-0.02,-0.35,0.87,-15.37,13.79,0.00
0.001320,-0.02,-0.35,0.84,-15.65,16.57,-1.37
0.001340,-0.03,-0.34,0.80,-16.76,19.77,-2.89
0.001350,-0.03,-0.34,0.79,-19.94,21.05,-4.86
0.001370,-0.04,-0.35,0.80,-23.37,19.31,-6.82
0.001380,-0.03,-0.35,0.81,-25.13,20.22,-8.52
0.001390,-0.02,-0.36,0.79,-25.69,28.86,-10.24
0.001410,-0.04,-0.38,0.80,-23.73,34.49,-11.60
0.001420,-0.08,-0.38,0.78,-23.47,45.27,-10.42
0.001430,-0.09,-0.40,0.79,-22.79,43.53,-11.82
0.001450,-0.08,-0.40,0.75,-30.74,59.72,-24.41
0.001460,-0.15,-0.40,0.79,-33.06,49.15,-16.06
0.001470,-0.19,-0.39,0.77,-30.15,44.78,-18.32
0.001490,-0.15,-0.41,0.76,-34.90,38.73,-19.99
0.001500,-0.19,-0.43,0.76,-39.50,28.11,-20.33
0.001520,-0.18,-0.47,0.84,-42.80,18.73,-19.40
0.001530,-0.16,-0.49,0.88,-41.34,14.37,-20.21
0.001540,-0.16,-0.51,0.91,-38.69,19.29,-20.15
0.001560,-0.17,-0.52,0.90,-38.50,22.40,-21.44
0.001570,-0.19,-0.53,0.91,-35.77,16.52,-23.27
0.001580,-0.19,-0.53,0.89,-37.66,9.89,-23.75
0.001600,-0.18,-0.54,0.87,-40.15,13.70,-24.37
0.001610,-0.18,-0.55,0.87,-40.65,14.66,-21.24
0.001630,-0.17,-0.57,0.86,-39.79,12.69,-19.44
0.001640,-0.16,-0.60,0.85,-37.57,12.60,-17.06
0.001650,-0.16,-0.62,0.85,-37.68,12.85,-15.79
0.001670,-0.16,-0.64,0.85,-38.53,9.98,-13.97
0.001680,-0.15,-0.65,0.89,-39.12,2.98,-12.22
0.001690,-0.09,-0.67,0.91,-38.23,-1.77,-12.45
0.001710,-0.06,-0.68,0.92,-33.34,0.79,-15.90
0.001720,-0.08,-0.67,0.88,-27.25,4.53,-21.40
0.001740,-0.12,-0.69,0.86,-20.38,7.47,-22.69
0.001750,-0.18,-0.70,0.81,-22.34,6.73,-23.89
0.001760,-0.20,-0.68,0.80,-26.79,7.91,-25.01
0.001780,-0.25,-0.70,0.80,-27.21,1.37,-20.28
0.001790,-0.25,-0.71,0.80,-28.09,-4.31,-13.99
0.001800,-0.22,-0.71,0.81,-26.40,-10.95,-7.52
0.001820,-0.18,-0.73,0.79,-25.53,-16.33,-4.59
0.001830,-0.12,-0.72,0.75,-29.60,-18.25,-5.07
0.001840,-0.11,-0.70,0.72,-33.02,-21.73,-8.47
0.001860,-0.11,-0.73,0.70,-36.21,-23.98,-10.37
0.001870,-0.10,-0.76,0.76,-31.89,-18.02,-10.31
0.001890,-0.13,-0.79,0.80,-22.32,-5.25,-10.05
0.001900,-0.16,-0.81,0.76,-23.55,19.05,-13.20
0.001910,-0.21,-0.81,0.75,-37.95,11.58,-11.15
0.001930,-0.19,-0.81,0.75,-42.28,1.21,-8.82
0.001940,-0.17,-0.86,0.79,-20.73,1.27,-14.90
0.001950,-0.12,-0.82,0.81,-16.17,1.99,1.48
0.001970,-0.03,-0.84,0.75,-20.55,7.45,-12.09
0.001980,-0.04,-0.86,0.82,-20.01,13.63,-27.79
0.001990,-0.06,-0.86,0.78,-22.82,25.18,-39.89
0.002010,-0.10,-0.86,0.86,-26.56,32.97,-46.56
0.002020,-0.05,-0.85,0.84,-34.37,32.45,-60.54
0.002040,-0.11,-0.83,0.83,-47.42,30.42,-71.87
0.002050,-0.11,-0.81,0.83,-50.34,41.20,-74.05
0.002060,-0.18,-0.85,0.88,-47.34,41.91,-79.97
0.002080,-0.16,-0.87,0.84,-43.58,46.27,-82.62
0.002090,-0.17,-0.85,0.92,-54.35,40.03,-86.73
0.002100,-0.13,-0.85,0.87,-60.95,47.57,-89.24
0.002120,-0.16,-0.83,0.84,-74.26,47.37,-87.94
0.002130,-0.13,-0.85,0.84,-82.62,49.55,-88.66
0.002150,-0.17,-0.84,0.81,-86.68,44.76,-86.17
0.002160,-0.17,-0.84,0.79,-84.35,37.10,-83.89
0.002170,-0.20,-0.84,0.79,-80.94,35.37,-86.63
0.002190,-0.20,-0.87,0.84,-75.53,24.35,-79.41
0.002200,-0.21,-0.88,0.88,-69.05,7.46,-67.79
0.002210,-0.12,-0.85,0.82,-69.90,8.44,-63.85
0.002230,-0.10,-0.87,0.80,-74.27,9.37,-62.67
0.002240,-0.05,-0.89,0.79,-72.74,15.75,-66.31
0.002260,-0.10,-0.87,0.76,-76.91,12.10,-66.90
0.002270,-0.07,-0.87,0.73,-78.67,12.41,-64.72
0.002280,-0.06,-0.88,0.70,-80.12,7.88,-61.98
0.002300,-0.05,-0.88,0.70,-82.44,7.23,-59.04
0.002310,-0.04,-0.89,0.73,-70.47,12.35,-49.81
0.002320,-0.06,-0.91,0.73,-58.07,9.56,-39.30
0.002340,-0.05,-0.91,0.70,-50.66,10.89,-31.13
0.002350,-0.05,-0.89,0.64,-44.53,16.63,-26.07
0.002360,-0.05,-0.87,0.65,-39.82,7.41,-15.23
0.002380,-0.06,-0.88,0.68,-31.93,4.92,-11.17
0.002390,0.01,-0.89,0.61,-28.95,-0.28,-5.20
0.002410,0.03,-0.87,0.61,-28.89,-5.70,-3.92
0.002420,0.06,-0.88,0.60,-28.46,-0.20,-4.28
0.002430,0.05,-0.88,0.64,-27.72,3.67,-5.12
0.002450,0.05,-0.89,0.65,-18.76,6.98,-3.85
0.002460,0.02,-0.86,0.62,-14.91,10.05,-3.76
0.002470,0.01,-0.87,0.63,-13.83,8.63,-0.44
0.002490,0.02,-0.86,0.62,-11.69,8.75,1.19
0.002500,0.04,-0.86,0.62,-8.63,11.54,2.18
0.002510,0.04,-0.84,0.62,0.92,11.70,2.99
0.002530,0.05,-0.85,0.63,7.15,16.93,0.34
0.002540,0.01,-0.85,0.62,12.65,20.77,0.10
0.002550,-0.00,-0.83,0.63,17.76,16.50,4.60
0.002570,-0.01,-0.81,0.63,25.27,10.72,10.46
