Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.398,-0.099,0.860,-5.878,-1.008,2.977
0.000,0.397,-0.102,0.857,-5.435,-0.977,2.748
0.010,0.403,-0.108,0.864,-5.130,-1.420,2.214
0.010,0.400,-0.111,0.870,-4.962,-1.573,1.634
0.010,0.406,-0.104,0.867,-4.656,-2.366,1.252
0.020,0.409,-0.109,0.866,-4.275,-2.580,0.748
0.020,0.407,-0.108,0.868,-3.939,-2.763,0.458
0.020,0.407,-0.115,0.874,-3.618,-2.870,0.046
0.030,0.401,-0.108,0.864,-3.267,-2.733,-0.229
0.030,0.396,-0.115,0.865,-2.809,-2.672,-0.336
0.030,0.393,-0.115,0.867,-2.198,-2.550,-0.397
0.040,0.398,-0.114,0.858,-2.107,-2.198,-0.382
0.040,0.399,-0.109,0.863,-1.817,-1.405,-0.244
0.040,0.400,-0.117,0.859,-1.649,-0.580,-0.198
0.050,0.392,-0.114,0.848,-1.710,0.137,-0.397
0.050,0.384,-0.106,0.855,-1.527,0.214,-0.473
0.060,0.384,-0.110,0.846,-1.450,0.473,-0.458
0.060,0.381,-0.103,0.853,-1.481,0.275,-0.519
0.060,0.384,-0.108,0.853,-1.466,0.015,-0.534
0.070,0.393,-0.101,0.847,-1.389,-0.366,-0.626
0.070,0.392,-0.109,0.855,-1.237,-0.550,-0.794
0.080,0.393,-0.114,0.856,-1.344,-0.076,-1.496
0.080,0.388,-0.103,0.867,-0.916,-0.580,-0.977
0.080,0.387,-0.113,0.870,-0.595,-0.672,-1.115
0.090,0.400,-0.116,0.859,-0.397,-0.794,-1.053
0.090,0.401,-0.116,0.849,-0.168,-0.336,-1.267
0.100,0.398,-0.114,0.860,-0.046,0.000,-1.298
0.100,0.398,-0.111,0.855,0.183,0.168,-1.435
0.100,0.404,-0.109,0.861,0.382,0.336,-1.710
0.110,0.412,-0.105,0.857,0.489,1.069,-1.908
0.110,0.398,-0.106,0.853,0.412,1.634,-1.878
0.120,0.394,-0.104,0.835,0.519,1.405,-1.985
0.120,0.385,-0.105,0.844,0.611,1.282,-2.244
0.120,0.380,-0.100,0.845,0.458,1.099,-2.198
