Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.40,0.14,0.95,-33.69,5.36,4.40
0.000020,0.39,0.15,0.94,-25.68,-6.44,6.76
0.000030,0.39,0.15,0.93,-18.27,-10.24,10.52
0.000050,0.37,0.13,0.92,-11.80,-11.30,12.70
0.000060,0.37,0.12,0.94,-6.70,-12.69,13.83
0.000070,0.37,0.11,0.95,-1.31,-10.87,16.75
0.000090,0.36,0.11,0.96,2.96,-8.38,18.53
0.000100,0.35,0.11,0.97,4.32,-10.82,18.12
0.000110,0.36,0.13,0.97,5.16,-9.97,22.44
0.000130,0.33,0.16,0.94,7.62,-11.47,23.94
0.000140,0.32,0.16,0.92,8.27,-7.48,23.60
0.000150,0.30,0.16,0.90,8.50,-2.06,20.34
0.000170,0.28,0.17,0.90,7.65,-3.36,16.02
0.000180,0.28,0.17,0.91,6.50,-3.39,11.42
0.000190,0.31,0.18,0.91,4.06,-6.08,6.32
0.000200,0.36,0.18,0.91,3.54,-9.05,5.22
0.000220,0.38,0.21,0.93,5.97,-16.31,7.79
0.000230,0.40,0.21,0.93,7.68,-25.95,12.87
0.000240,0.39,0.21,0.94,12.21,-32.12,18.31
0.000260,0.37,0.21,0.95,13.28,-34.38,19.37
0.000270,0.34,0.22,0.94,12.47,-38.72,18.09
0.000280,0.34,0.23,0.93,9.19,-38.70,15.05
0.000300,0.33,0.25,0.90,3.31,-40.40,9.91
0.000310,0.36,0.26,0.88,-2.50,-37.98,3.50
0.000320,0.43,0.25,0.82,-8.23,-32.11,-6.21
0.000340,0.55,0.23,0.83,-11.04,-18.08,-9.65
0.000350,0.61,0.24,0.84,-9.74,-4.32,-8.61
0.000360,0.64,0.24,0.91,-6.23,3.15,-4.66
0.000380,0.61,0.25,0.99,-2.69,6.79,-0.85
0.000390,0.60,0.26,1.07,-1.39,5.73,2.09
0.000400,0.57,0.26,1.12,-1.37,2.58,3.68
0.000420,0.56,0.23,1.14,-2.14,0.81,2.08
0.000430,0.55,0.22,1.14,-2.93,-1.63,0.06
0.000440,0.54,0.20,1.10,-2.21,-3.31,-2.50
0.000460,0.55,0.19,1.08,-1.07,-3.76,-2.72
0.000470,0.55,0.19,1.08,0.47,1.79,-1.66
0.000480,0.53,0.20,1.05,1.39,3.05,-1.19
0.000500,0.51,0.21,1.05,0.12,4.99,-2.20
0.000510,0.50,0.20,1.05,-1.18,4.15,-2.47
0.000520,0.49,0.20,1.04,-1.92,2.35,-1.62
0.000540,0.49,0.19,1.03,-3.57,1.11,-1.77
0.000550,0.50,0.19,1.03,-6.27,1.04,-2.87
0.000560,0.52,0.19,1.03,-8.17,3.04,-0.84
0.000580,0.52,0.19,1.03,-9.36,2.79,1.76
0.000590,0.48,0.18,1.02,-10.75,1.59,2.92
0.000600,0.47,0.17,1.00,-12.79,-2.21,1.60
0.000610,0.46,0.16,0.96,-13.82,-3.94,0.61
