Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.41,0.07,0.92,-25.92,-8.02,1.82
0.000020,0.40,0.07,0.93,-20.90,-6.98,3.71
0.000030,0.40,0.06,0.95,-15.66,-9.34,7.39
0.000050,0.37,0.06,0.97,-10.78,-12.23,9.31
0.000060,0.36,0.06,1.00,-8.47,-13.05,11.04
0.000070,0.35,0.07,1.01,-8.34,-9.28,8.34
0.000090,0.37,0.07,0.99,-7.39,-6.49,7.37
0.000100,0.37,0.07,0.98,-6.60,-3.21,7.18
0.000110,0.37,0.06,0.95,-4.23,-3.53,7.53
0.000130,0.35,0.07,0.95,-3.65,-5.22,6.21
0.000140,0.36,0.07,0.93,-0.85,-7.02,4.05
0.000150,0.35,0.08,0.93,0.35,-6.84,0.79
0.000160,0.38,0.08,0.93,1.85,-6.55,-2.00
0.000180,0.41,0.10,0.96,2.61,-3.62,-2.82
0.000190,0.44,0.10,0.95,4.95,-1.15,-2.37
0.000200,0.45,0.10,0.93,7.08,-2.00,-1.86
0.000220,0.46,0.11,0.92,7.30,-4.49,1.54
0.000230,0.44,0.12,0.92,8.17,-6.03,4.81
0.000240,0.40,0.15,0.90,7.98,-8.46,6.78
0.000260,0.38,0.15,0.90,5.68,-8.92,4.06
0.000270,0.37,0.14,0.89,3.86,-9.42,-1.42
0.000280,0.40,0.15,0.93,3.05,-0.61,-5.94
0.000300,0.42,0.15,0.97,1.62,5.36,-10.34
0.000310,0.45,0.15,1.00,0.08,3.71,-11.88
0.000320,0.46,0.19,1.06,-6.05,-0.49,-14.12
0.000340,0.47,0.19,1.06,-9.15,-4.12,-16.24
0.000350,0.52,0.19,1.07,-13.47,-5.80,-18.06
0.000360,0.56,0.18,1.06,-14.58,-5.73,-18.53
0.000380,0.58,0.19,1.03,-13.76,-11.91,-13.37
0.000390,0.55,0.18,1.01,-13.71,-14.24,-8.23
0.000400,0.52,0.17,1.00,-14.53,-9.54,-9.37
0.000420,0.52,0.16,1.00,-14.29,-2.14,-11.56
0.000430,0.50,0.17,1.03,-13.66,3.85,-14.78
0.000440,0.52,0.16,1.05,-13.74,4.35,-16.99
0.000460,0.53,0.17,1.06,-13.59,-1.40,-15.37
0.000470,0.51,0.17,1.05,-13.18,-6.81,-12.05
0.000480,0.49,0.17,1.03,-13.83,-11.48,-12.32
0.000500,0.52,0.17,1.01,-14.29,-5.11,-13.02
0.000510,0.52,0.17,1.00,-13.04,4.84,-12.79
0.000520,0.54,0.18,1.00,-12.34,10.58,-13.82
0.000540,0.52,0.19,0.98,-11.69,10.08,-13.59
0.000550,0.52,0.17,0.96,-9.66,1.40,-13.13
0.000560,0.53,0.17,0.97,-7.85,-2.96,-9.66
