Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.195,-0.246,0.846,-1.649,2.076,0.611
0.000,0.196,-0.246,0.854,-2.015,1.634,0.748
0.010,0.204,-0.238,0.841,-2.305,1.237,0.366
0.010,0.208,-0.241,0.864,-2.336,0.947,0.260
0.010,0.208,-0.244,0.860,-2.458,0.504,0.168
0.020,0.206,-0.242,0.859,-2.473,0.015,-0.015
0.020,0.208,-0.245,0.865,-2.260,-0.122,0.015
0.020,0.207,-0.245,0.865,-2.092,-0.427,-0.229
0.030,0.201,-0.244,0.858,-2.168,-0.443,-0.336
0.030,0.201,-0.246,0.855,-2.092,-0.229,-0.443
0.030,0.190,-0.241,0.863,-1.664,-0.550,-0.351
0.040,0.190,-0.243,0.861,-1.664,-0.397,-0.153
0.040,0.197,-0.248,0.869,-1.191,-0.183,-0.443
0.040,0.196,-0.245,0.871,-0.672,-0.092,-0.336
0.050,0.195,-0.247,0.873,-0.550,-0.687,-0.626
0.050,0.201,-0.237,0.866,-0.748,-1.496,-0.855
0.060,0.195,-0.244,0.863,-1.160,-1.802,-0.870
0.060,0.198,-0.242,0.867,-1.191,-1.969,-0.763
0.060,0.195,-0.246,0.871,-1.069,-1.191,-0.489
0.070,0.196,-0.244,0.878,-1.206,-0.794,-0.382
0.070,0.196,-0.252,0.869,-1.206,-0.137,-0.153
0.080,0.206,-0.246,0.867,-1.069,0.550,-0.046
0.080,0.197,-0.256,0.878,-0.855,1.237,-0.015
0.080,0.199,-0.253,0.882,-0.351,1.634,-0.031
0.090,0.199,-0.251,0.886,0.336,2.321,-0.107
0.090,0.188,-0.250,0.879,0.473,2.076,0.198
0.100,0.187,-0.246,0.866,0.534,1.618,0.305
0.100,0.198,-0.248,0.864,0.565,2.046,0.473
0.100,0.206,-0.244,0.852,0.763,2.305,0.412
0.110,0.196,-0.241,0.850,0.885,2.229,0.489
0.110,0.193,-0.238,0.844,0.321,2.214,0.519
0.110,0.194,-0.235,0.826,-0.351,2.092,0.427
0.120,0.196,-0.234,0.833,-0.718,2.504,0.458
0.120,0.199,-0.239,0.832,-1.023,2.779,0.641
0.130,0.198,-0.237,0.830,-1.313,2.779,0.489
0.130,0.189,-0.231,0.831,-1.511,2.840,0.641
0.130,0.187,-0.231,0.830,-1.893,2.519,0.916
0.140,0.181,-0.237,0.831,-1.924,2.489,0.809
0.140,0.185,-0.235,0.827,-2.031,2.000,0.947
0.150,0.189,-0.236,0.842,-2.427,1.435,0.748
0.150,0.192,-0.231,0.852,-2.672,1.328,0.901
0.150,0.193,-0.240,0.852,-2.748,0.763,0.870
0.160,0.197,-0.239,0.843,-3.069,-0.107,0.397
0.160,0.204,-0.235,0.844,-3.466,-0.855,0.046
0.170,0.203,-0.241,0.856,-3.634,-1.557,-0.061
0.170,0.202,-0.240,0.857,-3.496,-1.725,-0.015
0.170,0.199,-0.243,0.861,-3.267,-1.725,0.137
0.180,0.200,-0.245,0.877,-2.885,-1.191,0.092
0.180,0.202,-0.244,0.865,-2.443,-0.687,0.198
0.190,0.196,-0.247,0.872,-2.122,-0.687,0.214
0.190,0.200,-0.249,0.877,-1.817,-0.916,0.244
0.190,0.200,-0.249,0.874,-1.115,-0.137,0.168
0.200,0.203,-0.250,0.870,-0.702,0.382,-0.015
0.200,0.194,-0.252,0.868,-0.824,0.443,0.137
0.210,0.193,-0.242,0.856,-0.916,0.244,-0.061
0.210,0.195,-0.241,0.850,-0.840,0.305,0.153
0.210,0.192,-0.233,0.857,-1.298,-0.046,0.031
0.220,0.193,-0.240,0.839,-1.740,-0.351,0.153
0.220,0.191,-0.243,0.845,-1.969,-0.611,0.198
0.230,0.198,-0.244,0.845,-2.275,-1.084,0.321
0.230,0.194,-0.242,0.854,-2.260,-1.160,0.305
0.230,0.203,-0.242,0.852,-2.626,-0.733,0.321
0.240,0.198,-0.245,0.855,-2.382,-0.351,0.336
0.240,0.196,-0.244,0.860,-2.580,-0.565,0.580
0.250,0.198,-0.243,0.868,-2.580,-0.336,0.504
0.250,0.206,-0.240,0.862,-2.458,-0.107,0.641
0.250,0.198,-0.245,0.868,-2.260,0.519,0.550
0.260,0.201,-0.243,0.859,-2.275,1.145,0.779
0.260,0.201,-0.246,0.874,-2.565,1.191,0.489
0.270,0.192,-0.246,0.872,-2.489,1.450,0.687
0.270,0.196,-0.244,0.868,-2.198,2.031,0.809
0.270,0.189,-0.244,0.865,-2.183,2.672,0.855
0.280,0.186,-0.247,0.867,-1.969,2.794,1.160
0.280,0.185,-0.246,0.855,-2.031,2.901,1.511
0.280,0.187,-0.237,0.849,-1.893,3.069,1.695
0.290,0.189,-0.235,0.857,-2.061,3.130,1.695
0.290,0.191,-0.234,0.857,-2.290,2.794,1.740
0.300,0.198,-0.237,0.854,-2.229,2.748,1.695
0.300,0.194,-0.240,0.853,-2.336,2.092,1.420
0.300,0.196,-0.245,0.866,-2.519,1.466,1.618
0.310,0.194,-0.245,0.865,-2.672,1.008,1.237
0.310,0.199,-0.240,0.868,-2.534,0.779,1.359
0.320,0.203,-0.243,0.861,-1.969,1.008,1.237
0.320,0.196,-0.245,0.880,-1.985,0.748,1.130
