Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.03,0.07,1.06,-1.10,2.70,1.83
0.000020,0.03,0.06,1.06,-0.76,1.41,0.71
0.000030,0.04,0.07,1.06,-0.24,-0.36,0.19
0.000050,0.05,0.07,1.07,0.02,-2.38,0.16
0.000060,0.06,0.08,1.07,-0.47,-3.12,1.25
0.000070,0.06,0.06,1.07,-0.29,-0.16,1.33
0.000080,0.04,0.07,1.07,-0.48,-1.28,1.18
0.000100,0.05,0.07,1.09,-1.53,-0.03,1.26
0.000110,0.05,0.07,1.08,-0.87,1.73,1.19
0.000120,0.04,0.06,1.07,-0.34,-2.40,0.99
0.000140,0.04,0.07,1.09,0.36,-1.44,0.79
0.000150,0.05,0.07,1.07,-0.56,-4.11,0.29
0.000160,0.05,0.07,1.07,-0.60,-1.64,-0.10
0.000180,0.05,0.08,1.06,-0.89,-0.35,0.15
0.000190,0.06,0.08,1.06,-0.81,0.35,0.11
0.000200,0.05,0.08,1.07,-0.45,3.65,0.56
0.000220,0.03,0.08,1.07,-0.57,0.11,0.28
0.000230,0.05,0.08,1.07,-0.53,0.32,0.06
0.000240,0.03,0.08,1.06,0.29,1.34,0.17
0.000260,0.05,0.07,1.05,0.21,0.56,0.05
0.000270,0.04,0.08,1.06,0.35,0.54,-0.08
0.000280,0.04,0.08,1.06,0.41,-1.42,0.15
0.000300,0.05,0.07,1.06,0.44,-2.11,0.20
0.000310,0.03,0.08,1.07,0.11,-5.00,0.41
0.000320,0.04,0.07,1.08,0.19,1.15,-0.20
0.000330,0.02,0.07,1.07,0.26,-0.81,-1.79
0.000350,0.03,0.07,1.06,1.88,-3.05,-2.51
0.000360,0.05,0.08,1.07,2.18,-3.65,-2.29
0.000370,0.05,0.08,1.08,2.49,-3.09,-1.91
0.000390,0.07,0.09,1.09,2.04,-0.62,-0.90
0.000400,0.06,0.10,1.10,0.95,0.62,-0.37
0.000410,0.05,0.10,1.08,0.67,-0.08,-0.60
0.000430,0.06,0.10,1.08,0.82,-1.34,-0.19
0.000440,0.05,0.09,1.09,0.36,-2.72,0.08
0.000450,0.05,0.09,1.09,-0.56,-0.28,0.25
0.000470,0.05,0.09,1.09,-2.09,0.03,0.98
0.000480,0.05,0.08,1.09,-1.75,2.85,1.67
0.000490,0.02,0.08,1.08,-2.84,2.12,1.44
0.000510,0.02,0.08,1.07,-1.99,2.21,0.95
0.000520,0.02,0.06,1.05,0.95,3.29,-0.34
