Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.01,0.12,1.06,-1.21,-2.03,0.21
0.000020,0.01,0.12,1.06,-0.34,-2.45,0.76
0.000030,0.02,0.13,1.07,-0.74,-2.34,0.72
0.000050,0.02,0.12,1.08,-1.39,-3.26,0.68
0.000060,0.02,0.12,1.07,-1.25,-3.50,1.34
0.000070,0.03,0.13,1.08,-0.54,0.23,0.90
0.000090,0.02,0.12,1.10,-1.79,-1.33,0.98
0.000100,0.00,0.11,1.08,-2.95,-2.97,0.54
0.000110,0.02,0.12,1.08,-3.24,-3.10,-0.15
0.000120,0.02,0.11,1.07,-2.31,-0.67,-0.44
0.000140,0.04,0.10,1.06,-1.98,-2.66,-0.28
0.000150,0.04,0.12,1.06,-1.70,-1.76,0.29
0.000160,0.04,0.13,1.07,-2.73,-1.34,0.83
0.000180,0.04,0.12,1.07,-3.23,0.92,1.30
0.000190,0.02,0.13,1.07,-2.75,0.77,1.32
0.000200,0.01,0.12,1.09,-3.08,-1.27,1.92
0.000220,0.00,0.12,1.08,-3.17,-3.15,1.25
0.000230,0.01,0.12,1.07,-4.02,-4.67,0.90
0.000240,0.02,0.12,1.07,-3.62,-2.45,0.47
0.000260,0.03,0.12,1.03,-3.83,-2.28,0.45
0.000270,0.04,0.12,1.03,-3.65,-1.40,1.02
0.000280,0.04,0.11,1.02,-2.27,-0.38,1.59
0.000300,0.03,0.11,1.03,-0.76,-0.13,2.44
0.000310,0.02,0.11,1.02,0.64,1.02,2.54
0.000320,0.01,0.11,1.04,0.73,0.53,2.42
0.000340,-0.00,0.10,1.05,1.04,1.60,1.77
0.000350,0.01,0.10,1.05,1.21,-0.49,1.07
0.000360,0.01,0.10,1.05,1.56,-0.34,0.23
0.000370,0.01,0.12,1.06,1.97,-1.14,0.34
0.000390,0.02,0.12,1.10,1.81,-1.45,0.01
0.000400,0.02,0.13,1.10,0.37,-3.66,-0.22
0.000410,0.03,0.14,1.10,-0.37,-2.69,0.20
0.000430,0.04,0.14,1.09,-0.62,-0.19,0.40
0.000440,0.04,0.14,1.11,-2.25,0.90,0.74
