Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,0.071,-0.067,0.885,-4.489,1.954,-1.557
0.000,0.063,-0.058,0.895,-4.534,2.015,-1.649
0.010,0.061,-0.061,0.894,-4.885,1.603,-1.893
0.010,0.063,-0.073,0.890,-5.191,1.374,-1.786
0.010,0.059,-0.070,0.890,-5.053,0.733,-1.786
0.020,0.057,-0.068,0.893,-4.794,0.244,-1.710
0.020,0.055,-0.069,0.897,-4.931,-0.382,-1.695
0.020,0.057,-0.068,0.911,-4.870,-0.748,-1.786
0.030,0.057,-0.072,0.908,-4.504,-1.069,-1.527
0.030,0.061,-0.076,0.905,-4.244,-1.282,-1.847
0.030,0.051,-0.078,0.908,-3.771,-0.992,-1.374
0.040,0.063,-0.072,0.906,-3.710,-0.855,-1.237
0.040,0.060,-0.070,0.903,-3.634,-0.382,-1.099
0.040,0.062,-0.073,0.906,-3.802,-0.473,-0.992
0.050,0.072,-0.066,0.901,-3.664,-0.626,-0.962
0.050,0.067,-0.070,0.898,-4.076,-0.702,-1.008
0.060,0.058,-0.068,0.886,-4.061,-1.374,-0.931
0.060,0.052,-0.078,0.884,-4.779,-2.275,-0.992
0.060,0.059,-0.073,0.890,-5.557,-3.069,-0.840
0.070,0.069,-0.077,0.889,-5.771,-2.763,-0.779
0.070,0.072,-0.070,0.905,-5.618,-2.214,-0.366
0.080,0.077,-0.073,0.906,-5.786,-1.725,-0.382
0.080,0.075,-0.067,0.895,-5.466,-1.374,-0.275
0.080,0.075,-0.071,0.893,-4.947,-1.267,-0.382
0.090,0.080,-0.072,0.897,-4.702,-0.947,-0.397
0.090,0.083,-0.066,0.890,-4.611,-1.221,-0.244
0.100,0.079,-0.060,0.879,-4.473,-1.466,-0.534
0.100,0.077,-0.068,0.886,-4.565,-1.466,-0.626
0.110,0.075,-0.063,0.881,-4.580,-1.359,-0.840
0.110,0.085,-0.067,0.877,-4.809,-1.710,-1.252
0.110,0.076,-0.070,0.878,-5.252,-2.137,-1.191
0.120,0.078,-0.060,0.887,-5.466,-1.878,-1.176
0.120,0.073,-0.065,0.880,-5.359,-1.176,-0.885
0.130,0.072,-0.067,0.879,-5.328,-0.458,-0.626
0.130,0.079,-0.071,0.874,-5.496,-0.107,-0.656
0.130,0.080,-0.073,0.875,-5.863,0.107,-0.931
0.140,0.077,-0.069,0.878,-6.260,0.763,-0.885
0.140,0.079,-0.074,0.877,-6.351,1.237,-1.038
0.150,0.068,-0.079,0.869,-7.038,1.160,-0.870
0.150,0.067,-0.077,0.860,-7.817,1.878,-0.809
0.150,0.072,-0.076,0.858,-10.122,4.733,-1.053
0.160,0.092,-0.066,0.836,-12.901,8.916,-0.916
0.160,0.063,-0.071,0.858,-13.496,9.588,-0.458
0.170,0.042,-0.085,0.886,-12.626,6.794,-0.076
0.170,0.032,-0.087,0.900,-13.206,3.588,0.198
0.170,0.039,-0.085,0.909,-12.855,2.580,0.565
0.180,0.057,-0.087,0.895,-12.168,1.802,0.458
0.180,0.056,-0.093,0.895,-11.344,0.672,0.366
0.190,0.061,-0.094,0.906,-11.115,0.260,0.137
0.190,0.065,-0.091,0.899,-10.076,0.427,0.092
0.190,0.059,-0.097,0.907,-9.573,0.290,0.076
0.200,0.065,-0.090,0.911,-9.206,-0.198,-0.031
0.200,0.017,-0.103,0.885,-10.580,-5.496,0.107
0.210,-0.017,-0.084,0.875,-14.687,-16.061,2.611
0.210,0.005,-0.082,0.890,-16.779,-21.450,2.489
0.210,0.120,-0.108,0.921,-14.489,-10.137,2.046
0.220,0.125,-0.107,0.948,-11.237,-3.069,2.244
0.220,0.097,-0.128,0.990,-6.779,-1.160,2.366
0.230,0.092,-0.125,0.966,-3.603,-0.137,2.061
0.230,0.093,-0.115,0.932,-2.672,1.802,1.679
0.230,0.089,-0.114,0.907,-2.702,2.840,1.420
0.240,0.079,-0.114,0.923,-2.198,2.565,1.328
