Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.14,0.26,1.03,0.27,-3.40,1.01
0.000020,0.15,0.26,1.04,0.79,-1.83,1.55
0.000030,0.15,0.26,1.07,-0.44,-2.15,1.49
0.000050,0.15,0.26,1.06,-0.59,-3.11,1.80
0.000060,0.16,0.26,1.05,-1.05,-1.95,2.03
0.000070,0.15,0.27,1.04,-1.00,-0.85,1.24
0.000090,0.15,0.26,1.05,-0.01,-3.05,1.35
0.000100,0.16,0.26,1.05,-0.47,-2.87,1.60
0.000110,0.16,0.26,1.04,-1.36,-1.18,1.73
0.000120,0.15,0.27,1.03,-1.51,-0.54,2.19
0.000140,0.15,0.26,1.04,-1.44,0.45,2.18
0.000150,0.14,0.26,1.05,-0.87,0.39,2.23
0.000160,0.13,0.26,1.06,-0.56,-1.31,1.44
0.000180,0.14,0.26,1.04,-0.19,-1.11,1.41
0.000190,0.13,0.28,1.04,-0.89,-1.01,1.53
0.000200,0.13,0.27,1.04,-1.85,-3.28,1.02
0.000220,0.14,0.26,1.03,-1.87,-1.50,1.18
0.000230,0.14,0.26,1.01,-0.76,0.48,0.87
0.000240,0.14,0.27,1.00,-0.18,-1.28,0.30
0.000260,0.15,0.27,1.01,0.77,-0.86,0.63
0.000270,0.13,0.27,1.01,1.47,-2.39,0.24
0.000280,0.13,0.26,1.03,1.52,-1.79,0.01
0.000300,0.14,0.27,1.02,1.40,0.50,0.19
0.000310,0.14,0.27,1.03,1.47,-0.03,0.53
0.000320,0.14,0.27,1.04,1.51,-0.73,0.51
0.000330,0.13,0.27,1.03,2.11,-0.70,0.05
0.000350,0.14,0.27,1.04,2.76,-1.95,-0.39
0.000360,0.14,0.27,1.04,3.22,-3.08,-0.65
0.000370,0.14,0.27,1.04,3.17,-4.66,-0.39
0.000390,0.15,0.27,1.05,3.17,-4.13,-0.66
0.000400,0.16,0.28,1.05,2.46,-0.91,-0.97
0.000410,0.16,0.27,1.05,1.83,0.75,-0.56
0.000430,0.14,0.28,1.04,1.99,-1.01,-0.89
0.000440,0.15,0.28,1.04,2.73,-2.19,-0.76
0.000450,0.15,0.27,1.03,3.59,-3.44,-0.98
0.000470,0.14,0.29,1.02,3.93,-3.73,-1.40
0.000480,0.16,0.28,1.02,4.85,0.69,-2.59
0.000490,0.17,0.29,0.99,7.71,4.34,-6.24
0.000510,0.20,0.30,1.02,5.54,2.44,-1.76
0.000520,0.16,0.29,1.03,5.03,4.32,0.49
0.000530,0.14,0.28,1.02,6.04,4.45,1.02
0.000550,0.13,0.27,1.03,6.78,5.15,0.88
0.000560,0.13,0.26,1.01,7.37,9.18,0.34
0.000570,0.13,0.25,1.02,9.73,11.14,0.97
0.000580,0.12,0.26,1.07,12.76,8.51,1.24
0.000600,0.13,0.26,1.10,13.60,7.13,1.97
0.000610,0.09,0.23,1.14,12.42,0.40,1.45
0.000620,0.11,0.21,1.16,13.21,-1.74,-1.69
0.000640,0.16,0.22,1.19,12.63,0.58,-2.98
0.000650,0.20,0.23,1.26,8.89,4.14,-1.93
0.000660,0.18,0.23,1.33,3.84,5.74,1.01
0.000680,0.16,0.22,1.38,-0.76,5.04,3.26
