Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.44,-0.05,0.94,-29.97,53.10,13.62
0.000020,0.46,-0.04,0.95,-22.03,51.25,10.23
0.000030,0.46,-0.04,0.98,-17.01,46.84,8.31
0.000050,0.43,-0.03,1.02,-13.25,46.46,5.11
0.000060,0.41,-0.02,1.04,-12.12,42.37,1.10
0.000070,0.40,-0.02,1.06,-10.32,38.21,-1.60
0.000090,0.37,-0.00,1.06,-8.60,30.56,-4.02
0.000100,0.34,-0.01,1.04,-6.35,20.37,-8.61
0.000110,0.35,-0.01,1.03,-3.86,13.27,-14.27
0.000130,0.34,0.01,1.03,0.44,6.63,-20.12
0.000140,0.23,0.04,0.88,8.06,-16.41,-24.35
0.000150,0.25,0.05,0.99,5.86,-24.15,-34.96
0.000170,0.34,0.04,0.98,17.71,-21.27,-26.93
0.000180,0.49,0.06,1.03,16.60,-40.27,-35.85
0.000190,0.46,0.05,1.03,20.27,-27.04,-36.38
0.000210,0.45,0.05,1.03,32.47,-7.42,-26.06
0.000220,0.44,0.04,1.00,48.41,0.21,-24.76
0.000230,0.39,0.07,1.02,51.40,-8.79,-27.07
0.000250,0.41,0.09,1.03,45.13,-15.63,-32.11
0.000260,0.40,0.12,1.03,41.27,-17.85,-36.12
0.000270,0.43,0.13,1.03,43.92,-17.04,-38.20
0.000290,0.45,0.16,1.00,48.24,-16.11,-35.02
0.000300,0.48,0.18,0.99,44.87,-15.13,-28.52
0.000310,0.48,0.20,0.99,30.95,-19.28,-26.40
0.000330,0.51,0.21,0.98,23.01,-16.38,-17.65
0.000340,0.51,0.21,0.99,20.95,-12.64,-11.60
0.000350,0.48,0.21,1.00,19.68,-11.76,-9.04
0.000370,0.49,0.22,1.00,14.41,-15.77,-5.56
0.000380,0.50,0.21,0.99,6.08,-14.12,-4.11
0.000390,0.48,0.20,0.99,-0.85,-11.80,-1.22
0.000410,0.45,0.18,1.00,-6.06,-10.32,-4.63
0.000420,0.46,0.16,1.01,-4.06,-7.13,2.56
0.000430,0.43,0.16,1.04,-3.71,-8.06,2.76
0.000450,0.38,0.18,1.07,-8.50,-11.92,-1.91
0.000460,0.41,0.16,1.04,-12.63,-10.12,0.03
0.000470,0.40,0.15,1.01,-19.18,-12.35,-4.02
0.000490,0.42,0.16,0.97,-20.41,-12.35,-3.37
0.000500,0.42,0.16,0.97,-18.11,-12.49,-3.62
0.000510,0.42,0.15,0.98,-12.95,-10.58,-2.35
0.000530,0.42,0.15,0.99,-10.35,-11.30,-1.50
0.000540,0.42,0.14,1.02,-11.56,-12.60,-2.41
0.000560,0.44,0.14,1.01,-13.25,-11.11,-0.84
0.000570,0.47,0.14,1.00,-13.51,-8.46,0.84
0.000580,0.48,0.14,0.99,-10.41,-2.92,1.60
0.000600,0.48,0.14,0.97,-6.82,2.15,2.49
0.000610,0.48,0.14,0.99,-3.42,5.77,3.94
0.000620,0.48,0.13,1.00,0.18,7.24,5.34
0.000630,0.48,0.14,1.03,2.95,8.95,7.34
0.000650,0.45,0.14,1.05,4.31,7.65,9.44
0.000660,0.43,0.14,1.04,4.14,3.53,10.05
0.000670,0.42,0.12,1.02,4.31,-1.21,10.53
0.000690,0.42,0.13,1.00,6.17,-4.89,10.75
0.000700,0.42,0.13,0.98,8.18,-7.53,10.82
0.000710,0.41,0.14,0.97,8.99,-6.81,9.51
0.000730,0.43,0.14,0.96,9.25,-5.69,8.93
0.000740,0.45,0.13,0.94,10.69,-2.66,9.54
0.000750,0.44,0.13,0.96,13.22,0.29,9.89
0.000770,0.42,0.14,0.99,14.32,2.98,8.72
0.000780,0.40,0.12,1.01,12.92,3.27,7.30
0.000790,0.39,0.13,1.01,9.92,-0.49,5.85
0.000810,0.40,0.13,1.02,6.00,-1.21,3.74
0.000820,0.40,0.12,0.97,2.73,-1.33,1.22
0.000830,0.41,0.13,0.97,1.36,-0.99,-1.44
0.000850,0.43,0.13,0.97,1.48,1.69,-3.30
0.000860,0.44,0.13,0.99,1.13,4.76,-4.70
0.000870,0.45,0.14,1.01,-1.18,5.88,-5.05
0.000890,0.45,0.13,1.00,-3.92,4.12,-4.90
0.000900,0.45,0.14,1.01,-5.91,2.35,-3.98
0.000910,0.46,0.15,1.01,-8.21,-0.14,-2.72
0.000930,0.46,0.14,0.99,-10.64,-0.41,-0.46
0.000940,0.45,0.13,0.97,-12.70,-0.31,-0.46
0.000950,0.43,0.12,0.96,-12.84,0.61,-2.52
0.000970,0.44,0.12,0.95,-10.79,-0.44,-4.11
0.000980,0.46,0.12,0.97,-7.82,-0.46,-4.20
0.000990,0.47,0.13,0.99,-6.32,-0.34,-2.50
0.001010,0.45,0.12,1.00,-6.79,-2.20,-1.39
0.001020,0.45,0.12,1.01,-8.05,-3.63,-1.54
0.001030,0.46,0.11,1.00,-7.39,-3.71,-1.68
0.001050,0.47,0.10,0.99,-4.70,0.18,-1.44
0.001060,0.47,0.10,1.00,-1.86,5.82,-1.82
0.001070,0.46,0.10,1.03,0.24,6.34,-2.53
0.001090,0.46,0.10,1.04,1.65,3.57,-2.53
0.001100,0.47,0.11,1.05,2.09,-0.64,-0.70
0.001110,0.47,0.12,1.04,1.25,-2.11,2.53
0.001130,0.44,0.12,1.01,-0.55,-2.95,4.85
0.001140,0.43,0.12,0.97,-0.81,-2.06,6.21
0.001150,0.41,0.10,0.95,0.49,-3.91,7.02
0.001160,0.40,0.10,0.95,2.26,-5.47,6.90
0.001180,0.41,0.10,0.95,2.96,-4.02,6.69
0.001190,0.40,0.10,0.94,1.02,-0.76,6.76
0.001200,0.37,0.09,0.93,-0.99,-4.85,2.69
0.001220,0.39,0.09,0.91,0.52,-5.07,0.27
0.001230,0.42,0.10,0.92,3.83,-3.65,-0.93
0.001240,0.43,0.10,0.94,4.98,-1.79,-0.89
0.001260,0.41,0.11,0.95,2.26,-0.61,-1.19
0.001270,0.41,0.11,0.96,0.43,-1.50,-1.11
0.001280,0.42,0.11,0.97,1.11,-1.59,-1.51
0.001300,0.43,0.10,0.98,2.37,-0.32,-1.82
0.001310,0.43,0.12,0.98,2.21,0.05,-2.50
0.001320,0.44,0.13,1.00,1.11,0.47,-2.87
0.001340,0.45,0.13,1.00,-0.27,0.00,-2.64
0.001350,0.45,0.13,1.01,-0.43,-0.75,-1.71
0.001360,0.46,0.13,1.01,0.58,-0.27,-1.31
0.001380,0.46,0.13,1.02,1.34,0.29,-0.96
0.001390,0.45,0.13,1.04,1.01,-0.52,-1.33
0.001400,0.47,0.13,1.05,0.03,-0.38,-1.18
0.001420,0.47,0.14,1.06,-0.31,-1.28,-0.41
0.001430,0.47,0.13,1.06,-0.38,-3.08,0.47
0.001440,0.46,0.14,1.07,0.08,-5.91,1.74
0.001460,0.46,0.13,1.07,0.34,-7.98,1.69
0.001470,0.46,0.13,1.07,-0.02,-8.78,0.85
0.001480,0.47,0.13,1.06,0.90,-8.34,-0.35
0.001500,0.48,0.13,1.08,1.91,-7.45,-0.90
0.001510,0.49,0.15,1.10,1.34,-8.78,-0.18
0.001520,0.51,0.16,1.12,-0.66,-8.15,0.82
0.001540,0.53,0.15,1.15,-3.50,-4.55,3.44
