Time,acce_x,acce_y,acce_z,gyro_x,gyro_y, gyro_z
0.000,-0.042,-0.069,0.896,-0.473,2.534,0.916
0.000,-0.041,-0.065,0.892,-0.595,1.969,1.206
0.010,-0.041,-0.068,0.882,-0.748,1.023,0.885
0.010,-0.045,-0.066,0.886,-0.901,-0.305,0.855
0.010,-0.043,-0.059,0.887,-0.901,-1.023,0.763
0.020,-0.030,-0.061,0.889,-0.763,-0.809,0.824
0.020,-0.033,-0.057,0.882,-0.733,-0.336,0.855
0.020,-0.031,-0.067,0.891,-0.962,0.061,0.947
0.030,-0.029,-0.062,0.881,-0.916,0.031,0.824
0.030,-0.030,-0.066,0.888,-0.427,-0.122,0.763
0.030,-0.037,-0.070,0.885,-0.107,-0.427,0.931
0.040,-0.038,-0.062,0.881,-0.336,-0.992,0.794
0.040,-0.036,-0.070,0.888,-0.290,-1.634,0.366
0.040,-0.031,-0.065,0.904,-0.198,-1.832,0.092
0.050,-0.026,-0.066,0.887,0.031,-2.000,-0.092
0.050,-0.024,-0.072,0.884,-0.260,-1.893,-0.336
0.060,-0.024,-0.060,0.884,-0.718,-1.466,-0.290
0.060,-0.029,-0.059,0.883,-0.901,-1.008,-0.427
0.060,-0.033,-0.063,0.880,-0.870,-1.053,-0.244
0.070,-0.034,-0.064,0.886,-0.977,-0.931,-0.031
0.070,-0.041,-0.063,0.881,-0.626,-0.473,0.412
0.080,-0.037,-0.064,0.874,-0.626,-0.244,0.840
0.080,-0.044,-0.063,0.873,-0.809,0.031,1.038
0.090,-0.046,-0.063,0.869,-0.458,0.153,1.466
0.090,-0.048,-0.064,0.874,-0.718,0.504,1.511
0.090,-0.046,-0.062,0.872,-0.748,0.076,1.359
0.100,-0.037,-0.060,0.877,-1.237,-1.282,0.718
0.100,-0.027,-0.059,0.865,-1.710,-2.504,0.183
0.110,-0.028,-0.058,0.884,-2.137,-2.336,0.031
0.110,-0.033,-0.058,0.877,-2.672,-2.473,0.000
0.110,-0.026,-0.054,0.878,-3.237,-2.198,0.244
0.120,-0.016,-0.060,0.883,-3.344,-2.107,0.244
0.120,-0.027,-0.066,0.900,-3.160,-1.634,0.107
0.130,-0.026,-0.073,0.908,-2.275,-1.435,0.137
0.130,-0.034,-0.077,0.918,-1.405,-1.099,0.275
0.130,-0.035,-0.082,0.913,-0.473,-0.550,0.412
0.140,-0.037,-0.074,0.916,0.504,-0.031,0.702
0.140,-0.039,-0.072,0.918,1.267,0.046,0.977
0.150,-0.044,-0.069,0.913,1.786,-0.092,1.374
0.150,-0.038,-0.071,0.912,2.092,-0.351,1.328
0.150,-0.036,-0.069,0.901,2.427,-0.885,1.191
0.160,-0.026,-0.059,0.889,2.290,-1.145,0.733
0.160,-0.024,-0.060,0.897,1.863,-1.008,0.702
0.170,-0.022,-0.056,0.876,1.053,-0.687,0.473
0.170,-0.025,-0.053,0.879,0.702,-0.321,0.580
0.170,-0.027,-0.055,0.879,0.443,0.565,0.748
0.180,-0.018,-0.054,0.882,0.397,1.405,0.779
0.180,-0.020,-0.059,0.868,0.061,2.672,0.870
0.190,-0.027,-0.062,0.872,0.000,3.328,0.672
0.190,-0.029,-0.057,0.865,-0.076,4.321,0.885
0.190,-0.042,-0.064,0.875,-0.031,4.977,1.237
0.200,-0.037,-0.063,0.877,-0.427,5.023,1.053
0.200,-0.056,-0.058,0.870,-0.443,4.321,1.359
0.210,-0.069,-0.056,0.858,-1.008,2.626,1.344
0.210,-0.065,-0.056,0.862,-1.969,-0.427,1.008
0.210,-0.040,-0.060,0.867,-2.489,-2.611,0.336
0.220,-0.025,-0.059,0.887,-2.565,-3.359,0.244
0.220,-0.020,-0.056,0.888,-2.687,-3.099,0.305
0.230,-0.020,-0.060,0.892,-3.008,-2.672,0.382
0.230,-0.019,-0.056,0.889,-2.611,-2.595,0.427
0.230,-0.017,-0.060,0.895,-2.107,-2.702,0.519
0.240,-0.021,-0.062,0.878,-1.649,-2.031,0.779
0.240,-0.015,-0.060,0.880,-1.511,-1.374,0.550
0.250,-0.021,-0.063,0.872,-1.115,-0.748,0.504
0.250,-0.022,-0.056,0.884,-1.344,0.321,0.641
0.250,-0.027,-0.058,0.875,-1.115,0.626,0.519
0.260,-0.037,-0.060,0.886,-1.008,0.641,0.840
0.260,-0.034,-0.053,0.883,-1.679,0.198,0.779
0.270,-0.029,-0.057,0.892,-2.122,-0.473,0.473
0.270,-0.027,-0.054,0.879,-2.702,-0.916,0.290
0.270,-0.024,-0.053,0.891,-2.824,-1.496,-0.031
0.280,-0.023,-0.056,0.886,-3.389,-1.664,-0.153
0.280,-0.017,-0.062,0.893,-3.328,-1.863,-0.473
0.290,-0.021,-0.063,0.899,-3.206,-2.092,-0.382
0.290,-0.017,-0.066,0.900,-2.962,-2.000,-0.397
0.300,-0.027,-0.066,0.909,-2.519,-1.710,-0.489
0.300,-0.024,-0.069,0.910,-1.878,-1.740,-0.519
0.300,-0.031,-0.060,0.895,-1.725,-1.435,-0.458
0.310,-0.028,-0.061,0.901,-1.603,-1.008,-0.244
0.310,-0.031,-0.069,0.897,-1.557,-0.412,-0.321
0.320,-0.026,-0.062,0.902,-1.450,0.656,0.015
0.320,-0.035,-0.064,0.899,-1.450,1.130,0.275
0.320,-0.033,-0.060,0.896,-1.389,1.603,0.122
0.330,-0.038,-0.069,0.894,-1.710,1.237,-0.015
0.330,-0.037,-0.068,0.897,-1.924,0.931,0.305
0.340,-0.041,-0.072,0.907,-2.336,0.412,0.137
0.340,-0.035,-0.066,0.887,-2.534,0.794,0.168
0.340,-0.037,-0.068,0.896,-2.809,0.992,0.229
0.350,-0.036,-0.065,0.889,-2.824,1.099,0.275
0.350,-0.034,-0.069,0.890,-2.809,0.870,0.366
0.360,-0.035,-0.072,0.887,-2.809,0.550,0.107
0.360,-0.032,-0.073,0.906,-2.351,0.656,0.305
0.360,-0.024,-0.072,0.907,-1.817,1.053,0.137
