Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.07,0.13,1.08,-1.47,-1.44,-1.47
0.000020,0.08,0.14,1.08,-1.64,-1.93,-1.47
0.000030,0.10,0.13,1.07,-1.40,-3.35,-1.15
0.000050,0.09,0.15,1.08,-2.58,-2.47,-0.24
0.000060,0.08,0.14,1.10,-4.31,-2.70,-0.08
0.000070,0.09,0.14,1.08,-4.63,-0.47,-0.37
0.000090,0.07,0.13,1.07,-4.05,-1.82,-1.32
0.000100,0.08,0.13,1.06,-2.96,-2.24,-1.16
0.000110,0.10,0.14,1.04,-2.47,-0.82,-1.25
0.000130,0.08,0.14,1.05,-2.15,1.08,-0.70
0.000140,0.06,0.14,1.06,-2.53,-0.45,-1.18
0.000150,0.06,0.14,1.07,-2.86,-0.32,-1.42
0.000170,0.07,0.14,1.06,-2.90,-2.50,-1.90
0.000180,0.09,0.13,1.04,-2.23,-2.78,-1.59
0.000190,0.09,0.14,1.05,-2.15,0.01,-1.18
0.000210,0.09,0.13,1.04,-1.20,1.31,-1.08
0.000220,0.07,0.14,1.06,-0.50,0.76,-0.60
0.000230,0.07,0.13,1.05,0.08,-1.57,-1.42
0.000240,0.08,0.13,1.04,0.84,-3.73,-1.87
0.000260,0.08,0.13,1.05,0.50,-6.07,-2.23
0.000270,0.09,0.14,1.05,-0.34,-7.82,-2.00
0.000280,0.10,0.15,1.05,-1.02,-5.03,-1.75
0.000300,0.11,0.14,1.05,-1.12,-0.37,-1.16
0.000310,0.09,0.14,1.03,-0.35,0.29,-0.95
0.000320,0.08,0.13,1.06,0.05,-2.54,-1.11
0.000340,0.08,0.14,1.07,0.85,-2.89,-1.99
0.000350,0.09,0.14,1.09,1.21,-2.85,-2.89
0.000360,0.12,0.16,1.09,0.18,-3.34,-2.20
0.000380,0.15,0.16,1.09,-1.47,1.13,-0.39
0.000390,0.15,0.16,1.09,-3.37,1.83,1.52
0.000400,0.13,0.13,1.08,-2.07,3.98,2.99
0.000420,0.11,0.12,1.07,-1.74,1.47,2.82
0.000430,0.10,0.12,1.06,-0.37,-1.23,2.27
0.000440,0.12,0.12,1.07,0.21,-3.08,1.20
0.000460,0.17,0.14,1.06,-0.10,-0.05,2.37
0.000470,0.19,0.14,1.07,-1.52,4.60,4.84
0.000480,0.17,0.14,1.08,-2.46,7.67,7.22
0.000500,0.15,0.13,1.08,-2.79,5.82,7.95
0.000510,0.13,0.12,1.08,-2.37,1.64,8.44
0.000520,0.12,0.12,1.06,-0.97,-0.81,7.55
0.000530,0.15,0.13,1.05,0.41,-1.82,7.53
0.000550,0.17,0.14,1.04,0.16,-0.09,9.02
0.000560,0.19,0.14,1.07,-0.30,0.95,10.86
0.000570,0.19,0.14,1.08,-0.35,2.96,12.91
0.000590,0.17,0.15,1.08,-1.19,1.28,14.98
0.000600,0.17,0.14,1.07,-1.29,3.47,16.43
0.000610,0.17,0.14,1.05,-0.87,3.23,17.63
0.000630,0.17,0.15,1.05,0.11,4.96,19.08
0.000640,0.17,0.14,1.05,0.07,2.86,20.32
0.000650,0.16,0.14,1.05,0.98,3.57,21.31
0.000670,0.16,0.15,1.06,0.59,1.57,22.05
0.000680,0.15,0.15,1.07,0.41,-0.92,22.96
0.000690,0.18,0.16,1.06,0.17,-1.84,24.05
0.000710,0.19,0.17,1.05,-0.63,-3.57,25.71
0.000720,0.20,0.17,1.04,-0.65,-0.85,27.74
0.000730,0.20,0.18,1.04,-0.19,4.81,30.18
0.000750,0.19,0.16,1.03,-0.04,7.24,31.86
0.000760,0.18,0.17,1.02,0.66,5.69,33.31
