Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.33,0.05,0.97,-46.76,-12.43,-35.42
0.000020,0.35,0.05,0.99,-35.24,-13.86,-35.50
0.000030,0.36,0.06,0.99,-35.94,-20.47,-34.56
0.000050,0.41,0.09,0.95,-27.89,-25.18,-32.87
0.000060,0.45,0.11,0.95,-19.68,-28.11,-27.34
0.000070,0.46,0.11,0.93,-19.62,-28.82,-23.13
0.000090,0.47,0.12,0.93,-16.61,-24.12,-19.92
0.000100,0.47,0.12,0.92,-15.01,-12.38,-19.10
0.000110,0.47,0.11,0.92,-13.59,-3.62,-20.44
0.000130,0.48,0.12,0.94,-11.31,2.53,-20.73
0.000140,0.44,0.10,0.96,-7.27,5.62,-21.83
0.000150,0.43,0.11,0.98,-5.02,5.66,-23.56
0.000170,0.42,0.11,0.99,-2.37,1.66,-24.37
0.000180,0.41,0.12,0.99,0.09,-5.28,-26.08
0.000190,0.43,0.14,0.99,1.71,-8.38,-28.03
0.000210,0.46,0.16,0.99,4.85,-6.79,-27.13
0.000220,0.48,0.17,1.01,7.04,-3.56,-25.89
0.000230,0.49,0.18,1.03,6.89,0.20,-24.55
0.000250,0.50,0.18,1.05,5.28,6.81,-22.43
0.000260,0.51,0.19,1.06,2.58,15.68,-20.40
0.000270,0.50,0.18,1.04,0.23,24.44,-17.22
0.000290,0.48,0.17,1.02,0.61,24.81,-14.03
0.000300,0.45,0.17,1.01,3.69,19.37,-11.53
0.000310,0.42,0.17,1.03,7.25,12.18,-9.83
0.000330,0.42,0.17,1.05,7.88,3.05,-9.05
0.000340,0.43,0.18,1.08,7.27,-2.55,-6.12
0.000350,0.46,0.18,1.06,5.10,-2.89,-2.98
0.000370,0.47,0.19,1.05,2.56,0.06,0.34
0.000380,0.45,0.18,1.02,-0.47,5.63,1.76
0.000390,0.43,0.17,1.00,-1.59,10.21,1.16
0.000410,0.42,0.16,0.99,-1.19,7.63,1.82
0.000420,0.42,0.16,0.97,0.23,4.55,2.64
0.000430,0.41,0.16,0.99,2.27,1.91,2.79
0.000440,0.40,0.15,1.01,2.27,-0.17,2.50
0.000460,0.41,0.14,1.01,2.02,-0.82,2.20
0.000470,0.40,0.14,1.02,2.53,-1.28,1.97
0.000480,0.39,0.14,1.04,2.14,-1.07,1.28
0.000500,0.39,0.14,1.04,0.69,0.24,0.53
0.000510,0.39,0.14,1.05,-0.20,0.08,-0.20
0.000520,0.38,0.14,1.06,-1.50,-0.73,-0.89
0.000540,0.37,0.14,1.05,-1.62,-6.21,-0.72
0.000550,0.37,0.14,1.03,-1.66,-12.78,-0.03
0.000560,0.37,0.13,1.02,-1.57,-17.53,0.24
0.000580,0.38,0.14,1.00,-0.53,-19.30,-0.41
0.000590,0.39,0.14,0.98,0.38,-16.75,-1.27
0.000600,0.40,0.14,0.98,1.13,-13.42,-1.21
0.000620,0.39,0.14,0.99,1.68,-11.48,-1.28
0.000630,0.38,0.14,0.99,2.38,-12.49,-1.40
0.000640,0.39,0.14,1.00,2.78,-13.66,-1.11
0.000660,0.38,0.14,0.99,2.75,-14.87,-0.52
0.000670,0.39,0.14,0.97,2.69,-14.47,-0.41
0.000680,0.40,0.13,0.96,3.04,-13.24,-0.56
0.000700,0.41,0.13,0.96,3.79,-9.22,-0.75
0.000710,0.42,0.14,0.97,5.47,-6.95,0.05
0.000720,0.41,0.14,0.99,5.07,-3.74,0.14
0.000740,0.41,0.14,0.99,4.14,-2.20,0.56
0.000750,0.40,0.14,1.00,3.40,-1.45,1.10
0.000760,0.38,0.12,1.00,3.45,-2.05,1.22
0.000780,0.38,0.13,1.01,3.62,-3.40,0.27
0.000790,0.38,0.12,1.00,3.25,-4.23,-0.58
0.000800,0.38,0.14,1.01,3.07,-5.21,-0.98
0.000820,0.39,0.14,1.01,1.94,-6.27,-1.27
0.000830,0.41,0.14,0.99,1.77,-6.15,-0.53
0.000840,0.42,0.15,0.98,2.03,-3.76,0.90
0.000860,0.42,0.16,0.98,1.79,0.05,1.44
0.000870,0.42,0.17,0.99,1.71,2.31,1.77
0.000880,0.42,0.17,0.99,1.18,3.16,1.79
0.000890,0.41,0.15,0.98,0.11,4.43,2.50
