Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.000010,0.37,0.11,1.05,-92.29,38.81,6.14
0.000020,0.35,0.09,1.06,-85.10,37.18,11.10
0.000030,0.27,0.07,1.08,-82.63,24.69,13.07
0.000050,0.29,0.06,1.08,-76.34,17.19,8.12
0.000060,0.30,0.06,1.07,-67.39,11.19,5.98
0.000070,0.31,0.06,1.07,-56.12,7.74,6.47
0.000090,0.29,0.04,1.05,-48.18,1.44,4.47
0.000100,0.28,0.04,1.04,-42.53,-6.52,0.90
0.000110,0.29,0.03,1.02,-36.60,-13.18,-2.52
0.000130,0.32,0.04,1.00,-28.70,-13.30,-5.24
0.000140,0.35,0.04,0.99,-19.76,-9.94,-6.79
0.000150,0.36,0.04,0.99,-12.82,-7.42,-9.18
0.000170,0.36,0.04,0.99,-7.37,-5.56,-11.50
0.000180,0.33,0.05,0.99,-2.99,-7.62,-14.26
0.000190,0.33,0.04,0.99,1.25,-12.02,-17.92
0.000210,0.32,0.04,0.99,5.05,-19.54,-23.18
0.000220,0.34,0.13,1.01,-1.69,-8.63,-18.79
0.000230,0.57,0.05,1.03,11.62,-5.42,-16.70
0.000250,0.40,0.10,1.14,-36.60,-21.31,-25.11
0.000260,0.60,0.04,1.07,7.36,-3.33,-22.14
0.000270,0.43,0.07,1.03,26.14,-37.11,-30.44
0.000290,0.44,0.12,1.08,7.82,-19.88,-16.72
0.000300,0.45,0.07,1.02,-15.48,-21.19,-13.30
0.000310,0.46,0.06,0.96,4.67,-9.19,-7.73
0.000330,0.45,0.06,0.97,5.73,-11.59,-5.51
0.000340,0.44,0.07,0.96,-0.69,-9.25,-4.06
0.000350,0.44,0.06,0.92,7.05,-8.93,-4.41
0.000370,0.45,0.06,0.94,11.82,-8.26,-2.17
0.000380,0.46,0.05,0.95,15.82,-7.22,-0.72
0.000390,0.45,0.07,0.98,17.40,0.63,2.61
0.000410,0.43,0.07,1.01,13.19,5.98,5.13
0.000420,0.41,0.06,1.02,9.25,7.88,6.66
0.000430,0.38,0.06,1.03,7.60,5.19,6.11
